,words,preprocessed_words,tokenised_words,pre_tok_words,true,pred,sentence,agreement
100,القادمة,القادمة,['القادمة'],['القادمة'],O,O,sentence#3,True
101,لافتتاح,لافتتاح,['لافتتاح'],['لافتتاح'],O,O,sentence#3,True
102,مشاريع,مشاريع,['مشاريع'],['مشاريع'],O,O,sentence#3,True
103,تم,تم,['تم'],['تم'],O,O,sentence#3,True
104,إنجازها,إنجازها,['إنجازها'],['إنجازها'],O,O,sentence#3,True
105,بأمر,بأمر,['بأمر'],['بأمر'],O,O,sentence#3,True
106,من,من,['من'],['من'],O,O,sentence#3,True
107,جلالته,جلالته,['جلالته'],['جلالته'],O,O,sentence#3,True
108,لصادرات,لصادرات,"['لص', '##ادر', '##ات']","['لص', '##ادر', '##ات']",O,O,sentence#4,True
109,جلالة,جلالة,"['جلال', '##ة']","['جلال', '##ة']",O,O,sentence#4,True
110,الملك,الملك,['الملك'],['الملك'],O,O,sentence#4,True
111,اطلق,اطلق,['اطلق'],['اطلق'],O,O,sentence#4,True
112,في,في,['في'],['في'],O,O,sentence#4,True
113,ايار,ايار,"['ايا', '##ر']","['ايا', '##ر']",O,O,sentence#4,True
114,الماضي,الماضي,['الماضي'],['الماضي'],O,O,sentence#4,True
115,مبادرة,مبادرة,['مبادرة'],['مبادرة'],O,O,sentence#4,True
116,شبكة,شبكة,['شبكة'],['شبكة'],O,O,sentence#4,True
117,الأمان,الأمان,['الأمان'],['الأمان'],O,O,sentence#4,True
118,الاجتماعي,الاجتماعي,['الاجتماعي'],['الاجتماعي'],O,O,sentence#4,True
119,من,من,['من'],['من'],O,O,sentence#4,True
120,الأغوار,الأغوار,"['الأغ', '##وار']","['الأغ', '##وار']",O,O,sentence#4,True
121,الجنوبية,الجنوبية,['الجنوبية'],['الجنوبية'],O,O,sentence#4,True
122,والتي,والتي,['والتي'],['والتي'],O,O,sentence#4,True
123,ستشمل,ستشمل,['ستشمل'],['ستشمل'],O,O,sentence#4,True
124,جميع,جميع,['جميع'],['جميع'],O,O,sentence#4,True
125,جيوب,جيوب,['جيوب'],['جيوب'],O,O,sentence#4,True
126,الفقر,الفقر,['الفقر'],['الفقر'],O,O,sentence#4,True
127,التي,التي,['التي'],['التي'],O,O,sentence#4,True
128,حددتها,حددتها,['حددتها'],['حددتها'],O,O,sentence#4,True
129,دراسة,دراسة,['دراسة'],['دراسة'],O,O,sentence#4,True
130,اعدتها,اعدتها,"['اعدته', '##ا']","['اعدته', '##ا']",O,O,sentence#4,True
131,الحكومة,الحكومة,['الحكومة'],['الحكومة'],O,O,sentence#4,True
132,عام,عام,['عام'],['عام'],O,O,sentence#4,True
133,2003,2003,['2003'],['2003'],O,O,sentence#4,True
134,يتعين,يتعين,['يتعين'],['يتعين'],O,O,sentence#5,True
135,قضاء,قضاء,['قضاء'],['قضاء'],O,O,sentence#5,True
136,الصالحية,الصالحية,['الصالحية'],['الصالحية'],O,O,sentence#5,True
137,احد,احد,['احد'],['احد'],O,O,sentence#5,True
138,الوحدات,الوحدات,['الوحدات'],['الوحدات'],O,O,sentence#5,True
139,الادارية,الادارية,['الادارية'],['الادارية'],O,O,sentence#5,True
140,التابعة,التابعة,['التابعة'],['التابعة'],O,O,sentence#5,True
141,للواء,للواء,['للواء'],['للواء'],O,O,sentence#5,True
142,البادية,البادية,['البادية'],['البادية'],O,B-LOC,sentence#5,False
143,الشمالية,الشمالية,['الشمالية'],['الشمالية'],O,O,sentence#5,True
144,الشرقية,الشرقية,['الشرقية'],['الشرقية'],O,O,sentence#5,True
145,ويبعد,ويبعد,['ويبعد'],['ويبعد'],O,O,sentence#5,True
146,عن,عن,['عن'],['عن'],O,O,sentence#5,True
147,مدينة,مدينة,['مدينة'],['مدينة'],O,O,sentence#5,True
148,المفرق,المفرق,['المفرق'],['المفرق'],B-LOC,B-LOC,sentence#5,True
149,35,35,['35'],['35'],O,O,sentence#5,True
150,كم,كم,['كم'],['كم'],O,O,sentence#5,True
151,باتجاه,باتجاه,['باتجاه'],['باتجاه'],O,O,sentence#5,True
152,الشرق,الشرق,['الشرق'],['الشرق'],O,O,sentence#5,True
153,ويسكنه,ويسكنه,['ويسكنه'],['ويسكنه'],O,O,sentence#5,True
154,نحو,نحو,['نحو'],['نحو'],O,O,sentence#5,True
155,16,16,['16'],['16'],O,O,sentence#5,True
156,الف,الف,['الف'],['الف'],O,O,sentence#5,True
157,نسمة,نسمة,['نسمة'],['نسمة'],O,O,sentence#5,True
158,يتوزعون,يتوزعون,['يتوزعون'],['يتوزعون'],O,O,sentence#5,True
159,على,على,['على'],['على'],O,O,sentence#5,True
160,16,16,['16'],['16'],O,O,sentence#5,True
161,تجمعا,تجمعا,"['تجمع', '##ا']","['تجمع', '##ا']",O,O,sentence#5,True
162,سكانيا,سكانيا,"['سكان', '##ي', '##ا']","['سكان', '##ي', '##ا']",O,O,sentence#5,True
163,شركات,شركات,['شركات'],['شركات'],O,O,sentence#6,True
164,موجة,موجة,['موجة'],['موجة'],O,O,sentence#6,True
165,الهجمات,الهجمات,['الهجمات'],['الهجمات'],O,O,sentence#6,True
166,الانتحارية,الانتحارية,['الانتحارية'],['الانتحارية'],O,O,sentence#6,True
167,التي,التي,['التي'],['التي'],O,O,sentence#6,True
168,هزت,هزت,['هزت'],['هزت'],O,O,sentence#6,True
169,أفغانستان,أفغانستان,['أفغانستان'],['أفغانستان'],B-LOC,B-LOC,sentence#6,True
170,هذا,هذا,['هذا'],['هذا'],O,O,sentence#6,True
171,الشهر,الشهر,['الشهر'],['الشهر'],O,O,sentence#6,True
172,(,(,['('],['('],O,O,sentence#6,True
173,منها,منها,['منها'],['منها'],O,O,sentence#6,True
174,ثلاث,ثلاث,['ثلاث'],['ثلاث'],O,O,sentence#6,True
175,هجمات,هجمات,['هجمات'],['هجمات'],O,O,sentence#6,True
176,يوم,يوم,['يوم'],['يوم'],O,O,sentence#6,True
177,الاثنين,الاثنين,['الاثنين'],['الاثنين'],O,O,sentence#6,True
178,،,،,['،'],['،'],O,O,sentence#6,True
179,وهو,وهو,['وهو'],['وهو'],O,O,sentence#6,True
180,ما,ما,['ما'],['ما'],O,O,sentence#6,True
181,رفع,رفع,['رفع'],['رفع'],O,O,sentence#6,True
182,مجموع,مجموع,['مجموع'],['مجموع'],O,O,sentence#6,True
183,هذه,هذه,['هذه'],['هذه'],O,O,sentence#6,True
184,الهجمات,الهجمات,['الهجمات'],['الهجمات'],O,O,sentence#6,True
185,منذ,منذ,['منذ'],['منذ'],O,O,sentence#6,True
186,2005,2005,['2005'],['2005'],O,O,sentence#6,True
187,إلى,إلى,['إلى'],['إلى'],O,O,sentence#6,True
188,69,69,['69'],['69'],O,O,sentence#6,True
189,),),[')'],[')'],O,O,sentence#6,True
190,تذكيراً,تذكيرا,['[UNK]'],"['تذكير', '##ا']",O,O,sentence#6,True
191,محزناً,محزنا,['[UNK]'],"['محزن', '##ا']",O,O,sentence#6,True
192,بأن,بأن,['بأن'],['بأن'],O,O,sentence#6,True
193,وزير,وزير,['وزير'],['وزير'],O,O,sentence#6,True
194,الدفاع,الدفاع,['الدفاع'],['الدفاع'],O,O,sentence#6,True
195,دونالد,دونالد,['دونالد'],['دونالد'],B-PERS,B-PERS,sentence#6,True
196,رامسفيلد,رامسفيلد,['رامسفيلد'],['رامسفيلد'],I-PERS,I-PERS,sentence#6,True
197,،,،,['،'],['،'],O,O,sentence#6,True
198,الذي,الذي,['الذي'],['الذي'],O,O,sentence#6,True
199,يتعرض,يتعرض,['يتعرض'],['يتعرض'],O,O,sentence#6,True
200,حالياً,حاليا,['[UNK]'],['حاليا'],O,O,sentence#6,True
201,لانتقادات,لانتقادات,['لانتقادات'],['لانتقادات'],O,O,sentence#6,True
202,لاذعة,لاذعة,['لاذعة'],['لاذعة'],O,O,sentence#6,True
203,لدوره,لدوره,['لدوره'],['لدوره'],O,O,sentence#6,True
204,في,في,['في'],['في'],O,O,sentence#6,True
205,العراق,العراق,['العراق'],['العراق'],B-LOC,B-LOC,sentence#6,True
206,،,،,['،'],['،'],O,O,sentence#6,True
207,لم,لم,['لم'],['لم'],O,O,sentence#6,True
208,يكن,يكن,['يكن'],['يكن'],O,O,sentence#6,True
209,مهندس,مهندس,['مهندس'],['مهندس'],O,O,sentence#6,True
210,حرب,حرب,['حرب'],['حرب'],O,O,sentence#6,True
211,فاشلة,فاشلة,['فاشلة'],['فاشلة'],O,O,sentence#6,True
212,واحدة,واحدة,['واحدة'],['واحدة'],O,O,sentence#6,True
213,،,،,['،'],['،'],O,O,sentence#6,True
214,بل,بل,['بل'],['بل'],O,O,sentence#6,True
215,حربين,حربين,"['حربي', '##ن']","['حربي', '##ن']",O,O,sentence#6,True
216,فاشلتين,فاشلتين,"['فاشل', '##تين']","['فاشل', '##تين']",O,O,sentence#6,True
217,،,،,['،'],['،'],O,O,sentence#6,True
218,وصاحب,وصاحب,['وصاحب'],['وصاحب'],O,O,sentence#6,True
219,رؤية,رؤية,['رؤية'],['رؤية'],O,O,sentence#6,True
220,خطيرة,خطيرة,['خطيرة'],['خطيرة'],O,O,sentence#6,True
221,حول,حول,['حول'],['حول'],O,O,sentence#6,True
222,كيفية,كيفية,['كيفية'],['كيفية'],O,O,sentence#6,True
223,استعمال,استعمال,['استعمال'],['استعمال'],O,O,sentence#6,True
224,القوة,القوة,['القوة'],['القوة'],O,O,sentence#6,True
225,الأميركية,الأميركية,['الأميركية'],['الأميركية'],O,O,sentence#6,True
226,المقبل,المقبل,['المقبل'],['المقبل'],O,O,sentence#7,True
227,كان,كان,['كان'],['كان'],O,O,sentence#7,True
228,أغسطس,أغسطس,['أغسطس'],['أغسطس'],O,O,sentence#7,True
229,من,من,['من'],['من'],O,O,sentence#7,True
230,عام,عام,['عام'],['عام'],O,O,sentence#7,True
231,2002,2002,['2002'],['2002'],O,O,sentence#7,True
232,لحظة,لحظة,['لحظة'],['لحظة'],O,O,sentence#7,True
233,إعلان,إعلان,['إعلان'],['إعلان'],O,O,sentence#7,True
234,"""","""","['""']","['""']",O,O,sentence#7,True
235,إنجاز,إنجاز,['إنجاز'],['إنجاز'],O,O,sentence#7,True
236,المهمة,المهمة,['المهمة'],['المهمة'],O,O,sentence#7,True
237,"""","""","['""']","['""']",O,O,sentence#7,True
238,بالنسبة,بالنسبة,['بالنسبة'],['بالنسبة'],O,O,sentence#7,True
239,لأفغانستان؛,لأفغانستان ؛,"['لأفغانستان', '؛']","['لأفغانستان', '؛']",B-LOC,B-LOC,sentence#7,True
240,حيث,حيث,['حيث'],['حيث'],O,O,sentence#7,True
241,وصف,وصف,['وصف'],['وصف'],O,O,sentence#7,True
242,رامسفيلد,رامسفيلد,['رامسفيلد'],['رامسفيلد'],B-PERS,B-PERS,sentence#7,True
243,الجهد,الجهد,['الجهد'],['الجهد'],O,O,sentence#7,True
244,العسكري,العسكري,['العسكري'],['العسكري'],O,O,sentence#7,True
245,ب,ب,['ب'],['ب'],O,O,sentence#7,True
246,ـ,,['[UNK]'],[],removed,removed,sentence#7,True
247,"""","""","['""']","['""']",O,O,sentence#7,True
248,الإنجاز,الإنجاز,['الإنجاز'],['الإنجاز'],O,O,sentence#7,True
249,الكبير,الكبير,['الكبير'],['الكبير'],O,O,sentence#7,True
250,"""","""","['""']","['""']",O,O,sentence#7,True
251,و,و,['و'],['و'],O,O,sentence#7,True
252,"""","""","['""']","['""']",O,O,sentence#7,True
253,النموذج,النموذج,['النموذج'],['النموذج'],O,O,sentence#7,True
254,الناجح,الناجح,['الناجح'],['الناجح'],O,O,sentence#7,True
255,لما,لما,['لما'],['لما'],O,O,sentence#7,True
256,يمكن,يمكن,['يمكن'],['يمكن'],O,O,sentence#7,True
257,أن,أن,['أن'],['أن'],O,O,sentence#7,True
258,يحدث,يحدث,['يحدث'],['يحدث'],O,O,sentence#7,True
259,للعراق,للعراق,['للعراق'],['للعراق'],B-LOC,B-LOC,sentence#7,True
260,"""","""","['""']","['""']",O,O,sentence#7,True
261,،,،,['،'],['،'],O,O,sentence#8,True
262,من,من,['من'],['من'],O,O,sentence#8,True
263,وجهة,وجهة,['وجهة'],['وجهة'],O,O,sentence#8,True
264,نظره,نظره,['نظره'],['نظره'],O,O,sentence#8,True
265,هزمت,هزمت,['هزمت'],['هزمت'],O,O,sentence#8,True
266,"""","""","['""']","['""']",O,O,sentence#8,True
267,طالبان,طالبان,['طالبان'],['طالبان'],B-ORG,B-ORG,sentence#8,True
268,"""","""","['""']","['""']",O,O,sentence#8,True
269,،,،,['،'],['،'],O,O,sentence#8,True
270,وفككت,وفككت,"['وفك', '##ك', '##ت']","['وفك', '##ك', '##ت']",O,O,sentence#8,True
271,"""","""","['""']","['""']",O,O,sentence#8,True
272,القاعدة,القاعدة,['القاعدة'],['القاعدة'],B-ORG,B-ORG,sentence#8,True
273,"""","""","['""']","['""']",O,O,sentence#8,True
274,،,،,['،'],['،'],O,O,sentence#8,True
275,ووضعت,ووضعت,['ووضعت'],['ووضعت'],O,O,sentence#8,True
276,أفغانستان,أفغانستان,['أفغانستان'],['أفغانستان'],B-LOC,B-LOC,sentence#8,True
277,على,على,['على'],['على'],O,O,sentence#8,True
278,طريق,طريق,['طريق'],['طريق'],O,O,sentence#8,True
279,الاستقرار,الاستقرار,['الاستقرار'],['الاستقرار'],O,O,sentence#8,True
280,والديمقراطية,والديمقراطية,['والديمقراطية'],['والديمقراطية'],O,O,sentence#8,True
281,–وقد,– وقد,"['–', 'وقد']","['–', 'وقد']",O,O,sentence#8,True
282,فعلت,فعلت,['فعلت'],['فعلت'],O,O,sentence#8,True
283,ذلك,ذلك,['ذلك'],['ذلك'],O,O,sentence#8,True
284,على,على,['على'],['على'],O,O,sentence#8,True
285,طريقة,طريقة,['طريقة'],['طريقة'],O,O,sentence#8,True
286,رامسفيلد,رامسفيلد,['رامسفيلد'],['رامسفيلد'],B-PERS,B-PERS,sentence#8,True
287,،,،,['،'],['،'],O,O,sentence#8,True
288,أي,أي,['أي'],['أي'],O,O,sentence#8,True
289,بتكلفة,بتكلفة,['بتكلفة'],['بتكلفة'],O,O,sentence#8,True
290,قليلة,قليلة,['قليلة'],['قليلة'],O,O,sentence#8,True
291,وحد,وحد,['وحد'],['وحد'],O,O,sentence#8,True
292,أدنى,أدنى,['أدنى'],['أدنى'],O,O,sentence#8,True
293,من,من,['من'],['من'],O,O,sentence#8,True
294,الخسائر,الخسائر,['الخسائر'],['الخسائر'],O,O,sentence#8,True
295,البشرية,البشرية,['البشرية'],['البشرية'],O,O,sentence#8,True
296,أنان,أنان,"['أن', '##ان']","['أن', '##ان']",B-PERS,B-PERS,sentence#9,True
297,أن,أن,['أن'],['أن'],O,O,sentence#9,True
298,المهمة,المهمة,['المهمة'],['المهمة'],O,O,sentence#9,True
299,لم,لم,['لم'],['لم'],O,O,sentence#9,True
300,تنجز,تنجز,['تنجز'],['تنجز'],O,O,sentence#9,True
301,أبداً,أبدا,['[UNK]'],['أبدا'],O,O,sentence#9,True
302,في,في,['في'],['في'],O,O,sentence#9,True
303,واقع,واقع,['واقع'],['واقع'],O,O,sentence#9,True
304,الأمر؛,الأمر ؛,"['الأمر', '؛']","['الأمر', '؛']",O,O,sentence#9,True
305,فبعد,فبعد,['فبعد'],['فبعد'],O,O,sentence#9,True
306,خمس,خمس,['خمس'],['خمس'],O,O,sentence#9,True
307,سنوات,سنوات,['سنوات'],['سنوات'],O,O,sentence#9,True
308,على,على,['على'],['على'],O,O,sentence#9,True
309,أحداث,أحداث,['أحداث'],['أحداث'],O,O,sentence#9,True
310,الحادي,الحادي,['الحادي'],['الحادي'],O,O,sentence#9,True
311,عشر,عشر,['عشر'],['عشر'],O,O,sentence#9,True
312,من,من,['من'],['من'],O,O,sentence#9,True
313,سبتمبر,سبتمبر,['سبتمبر'],['سبتمبر'],O,O,sentence#9,True
314,،,،,['،'],['،'],O,O,sentence#9,True
315,أخذت,أخذت,['أخذت'],['أخذت'],O,O,sentence#9,True
316,جهود,جهود,['جهود'],['جهود'],O,O,sentence#9,True
317,الولايات,الولايات,['الولايات'],['الولايات'],B-LOC,B-LOC,sentence#9,True
318,المتحدة,المتحدة,['المتحدة'],['المتحدة'],I-LOC,I-LOC,sentence#9,True
319,في,في,['في'],['في'],O,O,sentence#9,True
320,أفغانستان,أفغانستان,['أفغانستان'],['أفغانستان'],B-LOC,B-LOC,sentence#9,True
321,،,،,['،'],['،'],O,O,sentence#9,True
322,مثلما,مثلما,['مثلما'],['مثلما'],O,O,sentence#9,True
323,في,في,['في'],['في'],O,O,sentence#9,True
324,العراق,العراق,['العراق'],['العراق'],B-LOC,B-LOC,sentence#9,True
325,،,،,['،'],['،'],O,O,sentence#9,True
326,تتبخر,تتبخر,"['تت', '##ب', '##خر']","['تت', '##ب', '##خر']",O,O,sentence#9,True
327,أنان,أنان,"['أن', '##ان']","['أن', '##ان']",I-PERS,B-PERS,sentence#10,False
328,ما,ما,['ما'],['ما'],O,O,sentence#10,True
329,تزال,تزال,['تزال'],['تزال'],O,O,sentence#10,True
330,حكومة,حكومة,['حكومة'],['حكومة'],O,O,sentence#10,True
331,البلاد,البلاد,['البلاد'],['البلاد'],O,O,sentence#10,True
332,ضعيفة,ضعيفة,['ضعيفة'],['ضعيفة'],O,O,sentence#10,True
333,وفاسدة,وفاسدة,"['وفا', '##س', '##دة']","['وفا', '##س', '##دة']",O,O,sentence#10,True
334,،,،,['،'],['،'],O,O,sentence#10,True
335,كما,كما,['كما'],['كما'],O,O,sentence#10,True
336,أنها,أنها,['أنها'],['أنها'],O,O,sentence#10,True
337,تواجه,تواجه,['تواجه'],['تواجه'],O,O,sentence#10,True
338,عراقيل,عراقيل,['عراقيل'],['عراقيل'],O,O,sentence#10,True
339,عدة,عدة,['عدة'],['عدة'],O,O,sentence#10,True
340,مثل,مثل,['مثل'],['مثل'],O,O,sentence#10,True
341,مؤشرات,مؤشرات,['مؤشرات'],['مؤشرات'],O,O,sentence#10,True
342,التنمية,التنمية,['التنمية'],['التنمية'],O,O,sentence#10,True
343,التي,التي,['التي'],['التي'],O,O,sentence#10,True
344,تبعث,تبعث,['تبعث'],['تبعث'],O,O,sentence#10,True
345,على,على,['على'],['على'],O,O,sentence#10,True
346,القلق,القلق,['القلق'],['القلق'],O,O,sentence#10,True
347,،,،,['،'],['،'],O,O,sentence#10,True
348,وازدهار,وازدهار,['وازدهار'],['وازدهار'],O,O,sentence#10,True
349,زراعة,زراعة,['زراعة'],['زراعة'],O,O,sentence#10,True
350,الأفيون,الأفيون,['الأفيون'],['الأفيون'],O,B-MISC,sentence#10,False
351,،,،,['،'],['،'],O,O,sentence#10,True
352,وانبعاث,وانبعاث,"['وان', '##بعاث']","['وان', '##بعاث']",O,O,sentence#10,True
353,حركة,حركة,['حركة'],['حركة'],O,O,sentence#10,True
354,التمرد,التمرد,['التمرد'],['التمرد'],O,O,sentence#10,True
355,من,من,['من'],['من'],O,O,sentence#10,True
356,جديد,جديد,['جديد'],['جديد'],O,O,sentence#10,True
357,الأحمر,الأحمر,['الأحمر'],['الأحمر'],I-ORG,O,sentence#11,False
358,،,،,['،'],['،'],O,O,sentence#11,True
359,لنا,لنا,['لنا'],['لنا'],O,O,sentence#11,True
360,أن,أن,['أن'],['أن'],O,O,sentence#11,True
361,نتساءل,نتساءل,['نتساءل'],['نتساءل'],O,O,sentence#11,True
362,:,:,[':'],[':'],O,O,sentence#11,True
363,كيف,كيف,['كيف'],['كيف'],O,O,sentence#11,True
364,ساءت,ساءت,['ساءت'],['ساءت'],O,O,sentence#11,True
365,الأمور,الأمور,['الأمور'],['الأمور'],O,O,sentence#11,True
366,إلى,إلى,['إلى'],['إلى'],O,O,sentence#11,True
367,هذا,هذا,['هذا'],['هذا'],O,O,sentence#11,True
368,الحد,الحد,['الحد'],['الحد'],O,O,sentence#11,True
369,وبهذه,وبهذه,"['وبهذ', '##ه']","['وبهذ', '##ه']",O,O,sentence#11,True
