,words,tokenised_words,true,pred,sentence,agreement
78,until,['until'],O,O,sentence#3,True
79,the,['the'],O,O,sentence#3,True
80,78th,"['78', '##th']",O,O,sentence#3,True
81,minute,['minute'],O,O,sentence#3,True
82,when,['when'],O,O,sentence#3,True
83,Uzbek,"['uz', '##bek']",B-MISC,B-MISC,sentence#3,True
84,striker,['striker'],O,O,sentence#3,True
85,Igor,['igor'],B-PER,B-PER,sentence#3,True
86,Shkvyrin,"['sh', '##k', '##vy', '##rin']",I-PER,I-PER,sentence#3,True
87,took,['took'],O,O,sentence#3,True
88,advantage,['advantage'],O,O,sentence#3,True
89,of,['of'],O,O,sentence#3,True
90,a,['a'],O,O,sentence#3,True
91,misdirected,"['mis', '##dir', '##ected']",O,O,sentence#3,True
92,defensive,['defensive'],O,O,sentence#3,True
93,header,"['head', '##er']",O,O,sentence#3,True
94,to,['to'],O,O,sentence#3,True
95,lob,"['lo', '##b']",O,O,sentence#3,True
96,the,['the'],O,O,sentence#3,True
97,ball,['ball'],O,O,sentence#3,True
98,over,['over'],O,O,sentence#3,True
99,the,['the'],O,O,sentence#3,True
100,advancing,"['ad', '##van', '##cing']",O,O,sentence#3,True
101,Chinese,['chinese'],B-MISC,B-MISC,sentence#3,True
102,keeper,['keeper'],O,O,sentence#3,True
103,and,['and'],O,O,sentence#3,True
104,into,['into'],O,O,sentence#3,True
105,an,['an'],O,O,sentence#3,True
106,empty,['empty'],O,O,sentence#3,True
107,net,['net'],O,O,sentence#3,True
108,Oleg,['oleg'],B-PER,B-PER,sentence#4,True
109,Shatskiku,"['sha', '##tski', '##ku']",I-PER,I-PER,sentence#4,True
110,made,['made'],O,O,sentence#4,True
111,sure,['sure'],O,O,sentence#4,True
112,of,['of'],O,O,sentence#4,True
113,the,['the'],O,O,sentence#4,True
114,win,['win'],O,O,sentence#4,True
115,in,['in'],O,O,sentence#4,True
116,injury,['injury'],O,O,sentence#4,True
117,time,['time'],O,O,sentence#4,True
118,",","[',']",O,O,sentence#4,True
119,hitting,['hitting'],O,O,sentence#4,True
120,an,['an'],O,O,sentence#4,True
121,unstoppable,"['uns', '##top', '##pable']",O,O,sentence#4,True
122,left,['left'],O,O,sentence#4,True
123,foot,['foot'],O,O,sentence#4,True
124,shot,['shot'],O,O,sentence#4,True
125,from,['from'],O,O,sentence#4,True
126,just,['just'],O,O,sentence#4,True
127,outside,['outside'],O,O,sentence#4,True
128,the,['the'],O,O,sentence#4,True
129,area,['area'],O,O,sentence#4,True
130,The,['the'],O,O,sentence#5,True
131,former,['former'],O,O,sentence#5,True
132,Soviet,['soviet'],B-MISC,B-MISC,sentence#5,True
133,republic,['republic'],O,O,sentence#5,True
134,was,['was'],O,O,sentence#5,True
135,playing,['playing'],O,O,sentence#5,True
136,in,['in'],O,O,sentence#5,True
137,an,['an'],O,O,sentence#5,True
138,Asian,['asian'],B-MISC,B-MISC,sentence#5,True
139,Cup,['cup'],I-MISC,I-MISC,sentence#5,True
140,finals,['finals'],O,O,sentence#5,True
141,tie,['tie'],O,O,sentence#5,True
142,for,['for'],O,O,sentence#5,True
143,the,['the'],O,O,sentence#5,True
144,first,['first'],O,O,sentence#5,True
145,time,['time'],O,O,sentence#5,True
146,Despite,['despite'],O,O,sentence#6,True
147,winning,['winning'],O,O,sentence#6,True
148,the,['the'],O,O,sentence#6,True
149,Asian,['asian'],B-MISC,B-MISC,sentence#6,True
150,Games,['games'],I-MISC,I-MISC,sentence#6,True
151,title,['title'],O,O,sentence#6,True
152,two,['two'],O,O,sentence#6,True
153,years,['years'],O,O,sentence#6,True
154,ago,['ago'],O,O,sentence#6,True
155,",","[',']",O,O,sentence#6,True
156,Uzbekistan,['uzbekistan'],B-LOC,B-LOC,sentence#6,True
157,are,['are'],O,O,sentence#6,True
158,in,['in'],O,O,sentence#6,True
159,the,['the'],O,O,sentence#6,True
160,finals,['finals'],O,O,sentence#6,True
161,as,['as'],O,O,sentence#6,True
162,outsiders,"['outside', '##rs']",O,O,sentence#6,True
163,Two,['two'],O,O,sentence#7,True
164,goals,['goals'],O,O,sentence#7,True
165,from,['from'],O,O,sentence#7,True
166,defensive,['defensive'],O,O,sentence#7,True
167,errors,['errors'],O,O,sentence#7,True
168,in,['in'],O,O,sentence#7,True
169,the,['the'],O,O,sentence#7,True
170,last,['last'],O,O,sentence#7,True
171,six,['six'],O,O,sentence#7,True
172,minutes,['minutes'],O,O,sentence#7,True
173,allowed,['allowed'],O,O,sentence#7,True
174,Japan,['japan'],B-LOC,B-LOC,sentence#7,True
175,to,['to'],O,O,sentence#7,True
176,come,['come'],O,O,sentence#7,True
177,from,['from'],O,O,sentence#7,True
178,behind,['behind'],O,O,sentence#7,True
179,and,['and'],O,O,sentence#7,True
180,collect,['collect'],O,O,sentence#7,True
181,all,['all'],O,O,sentence#7,True
182,three,['three'],O,O,sentence#7,True
183,points,['points'],O,O,sentence#7,True
184,from,['from'],O,O,sentence#7,True
185,their,['their'],O,O,sentence#7,True
186,opening,['opening'],O,O,sentence#7,True
187,meeting,['meeting'],O,O,sentence#7,True
188,against,['against'],O,O,sentence#7,True
189,Syria,['syria'],B-LOC,B-LOC,sentence#7,True
190,Takuya,"['tak', '##uya']",B-PER,B-PER,sentence#8,True
191,Takagi,"['taka', '##gi']",I-PER,I-PER,sentence#8,True
192,scored,['scored'],O,O,sentence#8,True
193,the,['the'],O,O,sentence#8,True
194,winner,['winner'],O,O,sentence#8,True
195,in,['in'],O,O,sentence#8,True
196,the,['the'],O,O,sentence#8,True
197,88th,"['88', '##th']",O,O,sentence#8,True
198,minute,['minute'],O,O,sentence#8,True
199,",","[',']",O,O,sentence#8,True
200,rising,['rising'],O,O,sentence#8,True
201,to,['to'],O,O,sentence#8,True
202,head,['head'],O,O,sentence#8,True
203,a,['a'],O,O,sentence#8,True
204,Hiroshige,"['hiroshi', '##ge']",B-PER,B-PER,sentence#8,True
205,Yanagimoto,"['yana', '##gi', '##moto']",I-PER,I-PER,sentence#8,True
206,cross,['cross'],O,O,sentence#8,True
207,towards,['towards'],O,O,sentence#8,True
208,the,['the'],O,O,sentence#8,True
209,Syrian,['syrian'],B-MISC,B-MISC,sentence#8,True
210,goal,['goal'],O,O,sentence#8,True
211,which,['which'],O,O,sentence#8,True
212,goalkeeper,['goalkeeper'],O,O,sentence#8,True
213,Salem,['salem'],B-PER,B-PER,sentence#8,True
214,Bitar,"['bit', '##ar']",I-PER,I-PER,sentence#8,True
215,appeared,['appeared'],O,O,sentence#8,True
216,to,['to'],O,O,sentence#8,True
217,have,['have'],O,O,sentence#8,True
218,covered,['covered'],O,O,sentence#8,True
219,but,['but'],O,O,sentence#8,True
220,then,['then'],O,O,sentence#8,True
221,allowed,['allowed'],O,O,sentence#8,True
222,to,['to'],O,O,sentence#8,True
223,slip,['slip'],O,O,sentence#8,True
224,into,['into'],O,O,sentence#8,True
225,the,['the'],O,O,sentence#8,True
226,net,['net'],O,O,sentence#8,True
227,It,['it'],O,O,sentence#9,True
228,was,['was'],O,O,sentence#9,True
229,the,['the'],O,O,sentence#9,True
230,second,['second'],O,O,sentence#9,True
231,costly,"['cost', '##ly']",O,O,sentence#9,True
232,blunder,"['blu', '##nder']",O,O,sentence#9,True
233,by,['by'],O,O,sentence#9,True
234,Syria,['syria'],B-LOC,B-LOC,sentence#9,True
235,in,['in'],O,O,sentence#9,True
236,four,['four'],O,O,sentence#9,True
237,minutes,['minutes'],O,O,sentence#9,True
238,Defender,['defender'],O,O,sentence#10,True
239,Hassan,['hassan'],B-PER,B-PER,sentence#10,True
240,Abbas,['abbas'],I-PER,I-PER,sentence#10,True
241,rose,['rose'],O,O,sentence#10,True
242,to,['to'],O,O,sentence#10,True
243,intercept,"['inter', '##ce', '##pt']",O,O,sentence#10,True
244,a,['a'],O,O,sentence#10,True
245,long,['long'],O,O,sentence#10,True
246,ball,['ball'],O,O,sentence#10,True
247,into,['into'],O,O,sentence#10,True
248,the,['the'],O,O,sentence#10,True
249,area,['area'],O,O,sentence#10,True
250,in,['in'],O,O,sentence#10,True
251,the,['the'],O,O,sentence#10,True
252,84th,"['84', '##th']",O,O,sentence#10,True
253,minute,['minute'],O,O,sentence#10,True
254,but,['but'],O,O,sentence#10,True
255,only,['only'],O,O,sentence#10,True
256,managed,['managed'],O,O,sentence#10,True
257,to,['to'],O,O,sentence#10,True
258,divert,"['dive', '##rt']",O,O,sentence#10,True
259,it,['it'],O,O,sentence#10,True
260,into,['into'],O,O,sentence#10,True
261,the,['the'],O,O,sentence#10,True
262,top,['top'],O,O,sentence#10,True
263,corner,['corner'],O,O,sentence#10,True
264,of,['of'],O,O,sentence#10,True
265,Bitar,"['bit', '##ar']",B-PER,B-PER,sentence#10,True
266,'s,"[""'"", 's']",O,O,sentence#10,True
267,goal,['goal'],O,O,sentence#10,True
268,Nader,"['nad', '##er']",B-PER,B-PER,sentence#11,True
269,Jokhadar,"['jo', '##kha', '##dar']",I-PER,I-PER,sentence#11,True
270,had,['had'],O,O,sentence#11,True
271,given,['given'],O,O,sentence#11,True
272,Syria,['syria'],B-LOC,B-LOC,sentence#11,True
273,the,['the'],O,O,sentence#11,True
274,lead,['lead'],O,O,sentence#11,True
275,with,['with'],O,O,sentence#11,True
276,a,['a'],O,O,sentence#11,True
277,well-struck,"['well', '-', 'struck']",O,O,sentence#11,True
278,header,"['head', '##er']",O,O,sentence#11,True
279,in,['in'],O,O,sentence#11,True
280,the,['the'],O,O,sentence#11,True
281,seventh,['seventh'],O,O,sentence#11,True
282,minute,['minute'],O,O,sentence#11,True
283,Japan,['japan'],B-LOC,B-LOC,sentence#12,True
284,then,['then'],O,O,sentence#12,True
285,laid,['laid'],O,O,sentence#12,True
286,siege,['siege'],O,O,sentence#12,True
287,to,['to'],O,O,sentence#12,True
288,the,['the'],O,O,sentence#12,True
289,Syrian,['syrian'],B-MISC,B-MISC,sentence#12,True
290,penalty,['penalty'],O,O,sentence#12,True
291,area,['area'],O,O,sentence#12,True
292,for,['for'],O,O,sentence#12,True
293,most,['most'],O,O,sentence#12,True
294,of,['of'],O,O,sentence#12,True
295,the,['the'],O,O,sentence#12,True
296,game,['game'],O,O,sentence#12,True
297,but,['but'],O,O,sentence#12,True
298,rarely,['rarely'],O,O,sentence#12,True
299,breached,"['br', '##each', '##ed']",O,O,sentence#12,True
300,the,['the'],O,O,sentence#12,True
301,Syrian,['syrian'],B-MISC,B-MISC,sentence#12,True
302,defence,['defence'],O,O,sentence#12,True
303,Bitar,"['bit', '##ar']",B-PER,B-PER,sentence#13,True
304,pulled,['pulled'],O,O,sentence#13,True
305,off,['off'],O,O,sentence#13,True
306,fine,['fine'],O,O,sentence#13,True
307,saves,['saves'],O,O,sentence#13,True
308,whenever,['whenever'],O,O,sentence#13,True
309,they,['they'],O,O,sentence#13,True
310,did,['did'],O,O,sentence#13,True
311,Japan,['japan'],B-LOC,B-LOC,sentence#14,True
312,coach,['coach'],O,O,sentence#14,True
313,Shu,['shu'],B-PER,B-PER,sentence#14,True
314,Kamo,"['kam', '##o']",I-PER,I-PER,sentence#14,True
315,said,['said'],O,O,sentence#14,True
316,:,[':'],O,O,sentence#14,True
317,',"[""'""]",O,O,sentence#14,True
318,',"[""'""]",O,O,sentence#14,True
319,The,['the'],O,O,sentence#14,True
320,Syrian,['syrian'],B-MISC,B-MISC,sentence#14,True
321,own,['own'],O,O,sentence#14,True
322,goal,['goal'],O,O,sentence#14,True
323,proved,['proved'],O,O,sentence#14,True
324,lucky,['lucky'],O,O,sentence#14,True
325,for,['for'],O,O,sentence#14,True
326,us,['us'],O,O,sentence#14,True
327,The,['the'],O,O,sentence#15,True
328,Syrians,"['syrian', '##s']",B-MISC,B-MISC,sentence#15,True
329,scored,['scored'],O,O,sentence#15,True
330,early,['early'],O,O,sentence#15,True
331,and,['and'],O,O,sentence#15,True
332,then,['then'],O,O,sentence#15,True
333,played,['played'],O,O,sentence#15,True
334,defensively,"['defensive', '##ly']",O,O,sentence#15,True
335,and,['and'],O,O,sentence#15,True
336,adopted,['adopted'],O,O,sentence#15,True
337,long,['long'],O,O,sentence#15,True
338,balls,['balls'],O,O,sentence#15,True
339,which,['which'],O,O,sentence#15,True
340,made,['made'],O,O,sentence#15,True
341,it,['it'],O,O,sentence#15,True
342,hard,['hard'],O,O,sentence#15,True
343,for,['for'],O,O,sentence#15,True
344,us,['us'],O,O,sentence#15,True
345,',"[""'""]",O,O,sentence#16,True
346,',"[""'""]",O,O,sentence#16,True
347,Japan,['japan'],B-LOC,B-LOC,sentence#16,True
348,",","[',']",O,O,sentence#16,True
349,co-hosts,"['co', '-', 'hosts']",O,O,sentence#16,True
350,of,['of'],O,O,sentence#16,True
351,the,['the'],O,O,sentence#16,True
352,World,['world'],B-MISC,B-MISC,sentence#16,True
353,Cup,['cup'],I-MISC,I-MISC,sentence#16,True
354,in,['in'],O,O,sentence#16,True
355,2002,['2002'],O,O,sentence#16,True
356,and,['and'],O,O,sentence#16,True
357,ranked,['ranked'],O,O,sentence#16,True
358,20th,['20th'],O,O,sentence#16,True
359,in,['in'],O,O,sentence#16,True
360,the,['the'],O,O,sentence#16,True
361,world,['world'],O,O,sentence#16,True
362,by,['by'],O,O,sentence#16,True
363,FIFA,['fifa'],B-ORG,B-ORG,sentence#16,True
364,",","[',']",O,O,sentence#16,True
365,are,['are'],O,O,sentence#16,True
366,favourites,"['favourite', '##s']",O,O,sentence#16,True
367,to,['to'],O,O,sentence#16,True
368,regain,"['reg', '##ain']",O,O,sentence#16,True
369,their,['their'],O,O,sentence#16,True
370,title,['title'],O,O,sentence#16,True
371,here,['here'],O,O,sentence#16,True
372,Hosts,['hosts'],O,O,sentence#17,True
373,UAE,['uae'],B-LOC,B-LOC,sentence#17,True
374,play,['play'],O,O,sentence#17,True
375,Kuwait,['kuwait'],B-LOC,B-LOC,sentence#17,True
376,and,['and'],O,O,sentence#17,True
377,South,['south'],B-LOC,B-LOC,sentence#17,True
378,Korea,['korea'],I-LOC,I-LOC,sentence#17,True
379,take,['take'],O,O,sentence#17,True
380,on,['on'],O,O,sentence#17,True
381,Indonesia,['indonesia'],B-LOC,B-LOC,sentence#17,True
382,on,['on'],O,O,sentence#17,True
383,Saturday,['saturday'],O,O,sentence#17,True
384,in,['in'],O,O,sentence#17,True
385,Group,['group'],O,O,sentence#17,True
386,A,['a'],O,O,sentence#17,True
387,matches,['matches'],O,O,sentence#17,True
388,All,['all'],O,O,sentence#18,True
389,four,['four'],O,O,sentence#18,True
390,teams,['teams'],O,O,sentence#18,True
391,are,['are'],O,O,sentence#18,True
392,level,['level'],O,O,sentence#18,True
393,with,['with'],O,O,sentence#18,True
394,one,['one'],O,O,sentence#18,True
395,point,['point'],O,O,sentence#18,True
396,each,['each'],O,O,sentence#18,True
397,from,['from'],O,O,sentence#18,True
398,one,['one'],O,O,sentence#18,True
399,game,['game'],O,O,sentence#18,True
400,RUGBY,['rugby'],B-ORG,B-ORG,sentence#19,True
401,UNION,['union'],I-ORG,I-ORG,sentence#19,True
402,-,['-'],O,O,sentence#19,True
403,CUTTITTA,"['cut', '##tit', '##ta']",B-PER,B-PER,sentence#19,True
404,BACK,['back'],O,O,sentence#19,True
405,FOR,['for'],O,O,sentence#19,True
406,ITALY,['italy'],B-LOC,B-LOC,sentence#19,True
407,AFTER,['after'],O,O,sentence#19,True
408,A,['a'],O,O,sentence#19,True
409,YEAR,['year'],O,O,sentence#19,True
410,ROME,['rome'],B-LOC,B-LOC,sentence#20,True
411,1996-12-06,"['1996', '-', '12', '-', '06']",O,O,sentence#20,True
412,Italy,['italy'],B-LOC,B-LOC,sentence#20,True
413,recalled,['recalled'],O,O,sentence#20,True
414,Marcello,['marcello'],B-PER,B-PER,sentence#20,True
415,Cuttitta,"['cut', '##tit', '##ta']",I-PER,I-PER,sentence#20,True
416,on,['on'],O,O,sentence#20,True
417,Friday,['friday'],O,O,sentence#20,True
418,for,['for'],O,O,sentence#20,True
419,their,['their'],O,O,sentence#20,True
420,friendly,['friendly'],O,O,sentence#20,True
421,against,['against'],O,O,sentence#20,True
422,Scotland,['scotland'],B-LOC,B-LOC,sentence#20,True
423,at,['at'],O,O,sentence#20,True
424,Murrayfield,"['murray', '##field']",B-LOC,B-LOC,sentence#20,True
425,more,['more'],O,O,sentence#20,True
426,than,['than'],O,O,sentence#20,True
427,a,['a'],O,O,sentence#20,True
428,year,['year'],O,O,sentence#20,True
429,after,['after'],O,O,sentence#20,True
430,the,['the'],O,O,sentence#20,True
431,30-year-old,"['30', '-', 'year', '-', 'old']",O,O,sentence#20,True
432,wing,['wing'],O,B-PER,sentence#20,False
433,announced,['announced'],O,O,sentence#20,True
434,he,['he'],O,O,sentence#20,True
435,was,['was'],O,O,sentence#20,True
436,retiring,['retiring'],O,O,sentence#20,True
437,following,['following'],O,O,sentence#20,True
438,differences,['differences'],O,O,sentence#20,True
439,over,['over'],O,O,sentence#20,True
440,selection,['selection'],O,O,sentence#20,True
441,Cuttitta,"['cut', '##tit', '##ta']",B-PER,B-PER,sentence#21,True
442,",","[',']",O,O,sentence#21,True
443,who,['who'],O,O,sentence#21,True
444,trainer,['trainer'],O,O,sentence#21,True
445,George,['george'],B-PER,B-PER,sentence#21,True
446,Coste,['coste'],I-PER,I-PER,sentence#21,True
447,said,['said'],O,O,sentence#21,True
448,was,['was'],O,O,sentence#21,True
449,certain,['certain'],O,O,sentence#21,True
450,to,['to'],O,O,sentence#21,True
451,play,['play'],O,O,sentence#21,True
452,on,['on'],O,O,sentence#21,True
453,Saturday,['saturday'],O,O,sentence#21,True
454,week,['week'],O,O,sentence#21,True
455,",","[',']",O,O,sentence#21,True
456,was,['was'],O,O,sentence#21,True
457,named,['named'],O,O,sentence#21,True
458,in,['in'],O,O,sentence#21,True
459,a,['a'],O,O,sentence#21,True
460,21-man,"['21', '-', 'man']",O,O,sentence#21,True
461,squad,['squad'],O,O,sentence#21,True
462,lacking,"['lack', '##ing']",O,O,sentence#21,True
463,only,['only'],O,O,sentence#21,True
464,two,['two'],O,O,sentence#21,True
465,of,['of'],O,O,sentence#21,True
466,the,['the'],O,O,sentence#21,True
467,team,['team'],O,O,sentence#21,True
468,beaten,['beaten'],O,O,sentence#21,True
469,54-21,"['54', '-', '21']",O,O,sentence#21,True
470,by,['by'],O,O,sentence#21,True
471,England,['england'],B-LOC,B-LOC,sentence#21,True
472,at,['at'],O,O,sentence#21,True
473,Twickenham,"['t', '##wick', '##en', '##ham']",B-LOC,B-LOC,sentence#21,True
474,last,['last'],O,O,sentence#21,True
475,month,['month'],O,O,sentence#21,True
476,Stefano,['stefano'],B-PER,B-PER,sentence#22,True
477,Bordon,"['bordo', '##n']",I-PER,I-PER,sentence#22,True
478,is,['is'],O,O,sentence#22,True
479,out,['out'],O,O,sentence#22,True
480,through,['through'],O,O,sentence#22,True
481,illness,['illness'],O,O,sentence#22,True
482,and,['and'],O,O,sentence#22,True
483,Coste,['coste'],B-PER,B-PER,sentence#22,True
484,said,['said'],O,O,sentence#22,True
485,he,['he'],O,O,sentence#22,True
486,had,['had'],O,O,sentence#22,True
487,dropped,['dropped'],O,O,sentence#22,True
488,back,['back'],O,O,sentence#22,True
489,row,['row'],O,O,sentence#22,True
490,Corrado,['corrado'],B-PER,B-PER,sentence#22,True
491,Covi,"['co', '##vi']",I-PER,I-PER,sentence#22,True
492,",","[',']",O,O,sentence#22,True
493,who,['who'],O,O,sentence#22,True
494,had,['had'],O,O,sentence#22,True
495,been,['been'],O,O,sentence#22,True
496,recalled,['recalled'],O,O,sentence#22,True
497,for,['for'],O,O,sentence#22,True
498,the,['the'],O,O,sentence#22,True
499,England,['england'],B-LOC,B-LOC,sentence#22,True
500,game,['game'],O,O,sentence#22,True
501,after,['after'],O,O,sentence#22,True
502,five,['five'],O,O,sentence#22,True
503,years,['years'],O,O,sentence#22,True
504,out,['out'],O,O,sentence#22,True
505,of,['of'],O,O,sentence#22,True
506,the,['the'],O,O,sentence#22,True
507,national,['national'],O,O,sentence#22,True
508,team,['team'],O,O,sentence#22,True
509,Cuttitta,"['cut', '##tit', '##ta']",B-PER,B-PER,sentence#23,True
510,announced,['announced'],O,O,sentence#23,True
511,his,['his'],O,O,sentence#23,True
512,retirement,['retirement'],O,O,sentence#23,True
513,after,['after'],O,O,sentence#23,True
514,the,['the'],O,O,sentence#23,True
515,1995,['1995'],B-MISC,O,sentence#23,False
516,World,['world'],I-MISC,B-MISC,sentence#23,False
517,Cup,['cup'],I-MISC,I-MISC,sentence#23,True
518,",","[',']",O,O,sentence#23,True
519,where,['where'],O,O,sentence#23,True
520,he,['he'],O,O,sentence#23,True
521,took,['took'],O,O,sentence#23,True
522,issue,['issue'],O,O,sentence#23,True
523,with,['with'],O,O,sentence#23,True
524,being,['being'],O,O,sentence#23,True
525,dropped,['dropped'],O,O,sentence#23,True
526,from,['from'],O,O,sentence#23,True
527,the,['the'],O,O,sentence#23,True
528,Italy,['italy'],B-LOC,B-LOC,sentence#23,True
529,side,['side'],O,O,sentence#23,True
530,that,['that'],O,O,sentence#23,True
531,faced,['faced'],O,O,sentence#23,True
532,England,['england'],B-LOC,B-LOC,sentence#23,True
533,in,['in'],O,O,sentence#23,True
534,the,['the'],O,O,sentence#23,True
535,pool,['pool'],O,O,sentence#23,True
536,stages,['stages'],O,O,sentence#23,True
537,Coste,['coste'],B-PER,B-PER,sentence#24,True
538,said,['said'],O,O,sentence#24,True
539,he,['he'],O,O,sentence#24,True
540,had,['had'],O,O,sentence#24,True
541,approached,['approached'],O,O,sentence#24,True
542,the,['the'],O,O,sentence#24,True
543,player,['player'],O,O,sentence#24,True
544,two,['two'],O,O,sentence#24,True
545,months,['months'],O,O,sentence#24,True
546,ago,['ago'],O,O,sentence#24,True
547,about,['about'],O,O,sentence#24,True
548,a,['a'],O,O,sentence#24,True
549,comeback,['comeback'],O,O,sentence#24,True
550,"""","['""']",O,O,sentence#25,True
551,He,['he'],O,O,sentence#25,True
552,ended,['ended'],O,O,sentence#25,True
553,the,['the'],O,O,sentence#25,True
554,World,['world'],B-MISC,B-MISC,sentence#25,True
555,Cup,['cup'],I-MISC,I-MISC,sentence#25,True
556,on,['on'],O,O,sentence#25,True
557,the,['the'],O,O,sentence#25,True
558,wrong,['wrong'],O,O,sentence#25,True
559,note,['note'],O,O,sentence#25,True
560,",","[',']",O,O,sentence#25,True
561,"""","['""']",O,O,sentence#25,True
562,Coste,['coste'],B-PER,B-PER,sentence#25,True
563,said,['said'],O,O,sentence#25,True
564,"""","['""']",O,O,sentence#26,True
565,I,['i'],O,O,sentence#26,True
566,thought,['thought'],O,O,sentence#26,True
567,it,['it'],O,O,sentence#26,True
568,would,['would'],O,O,sentence#26,True
569,be,['be'],O,O,sentence#26,True
570,useful,['useful'],O,O,sentence#26,True
571,to,['to'],O,O,sentence#26,True
572,have,['have'],O,O,sentence#26,True
573,him,['him'],O,O,sentence#26,True
574,back,['back'],O,O,sentence#26,True
575,and,['and'],O,O,sentence#26,True
576,he,['he'],O,O,sentence#26,True
577,said,['said'],O,O,sentence#26,True
578,he,['he'],O,O,sentence#26,True
579,would,['would'],O,O,sentence#26,True
580,be,['be'],O,O,sentence#26,True
581,available,['available'],O,O,sentence#26,True
582,I,['i'],O,O,sentence#27,True
583,think,['think'],O,O,sentence#27,True
584,now,['now'],O,O,sentence#27,True
585,is,['is'],O,O,sentence#27,True
586,the,['the'],O,O,sentence#27,True
587,right,['right'],O,O,sentence#27,True
588,time,['time'],O,O,sentence#27,True
589,for,['for'],O,O,sentence#27,True
590,him,['him'],O,O,sentence#27,True
591,to,['to'],O,O,sentence#27,True
592,return,['return'],O,O,sentence#27,True
593,"""","['""']",O,O,sentence#28,True
594,Squad,['squad'],O,O,sentence#28,True
595,:,[':'],O,O,sentence#28,True
596,Javier,['javier'],B-PER,B-PER,sentence#28,True
597,Pertile,"['per', '##tile']",I-PER,I-PER,sentence#28,True
598,",","[',']",O,O,sentence#28,True
