,words,preprocessed_words,tokenised_words,pre_tok_words,true,pred,sentence,agreement
79,التي,التي,['التي'],['التي'],O,O,sentence#2,True
80,تقترحونها,تقترحونها,"['تقترح', '##ونها']","['تقترح', '##ونها']",O,O,sentence#2,True
81,وأنا,و+ أنا,"['وأن', '##ا']","['و+', 'أنا']",O,O,sentence#2,True
82,جاهز,جاهز,['جاهز'],['جاهز'],O,O,sentence#2,True
83,لتقديم,ل+ تقديم,"['لت', '##قدي', '##م']","['ل+', 'تقديم']",O,O,sentence#2,True
84,كامل,كامل,['كامل'],['كامل'],O,O,sentence#2,True
85,الدعم,ال+ دعم,"['الد', '##عم']","['ال+', 'دعم']",O,O,sentence#2,True
86,لكم,ل+ +كم,['لكم'],"['ل+', '+كم']",O,O,sentence#2,True
87,زادت,زاد +ت,"['زاد', '##ت']","['زاد', '+ت']",O,O,sentence#3,True
88,جلالته,جلال +ت +ه,"['جلال', '##ته']","['جلال', '+ت', '+ه']",O,O,sentence#3,True
89,على,على,['على'],['على'],O,O,sentence#3,True
90,انه,+ان +ه,['انه'],"['+ان', '+ه']",O,O,sentence#3,True
91,سوف,سوف,['سوف'],['سوف'],O,O,sentence#3,True
92,يعود,يعود,['يعود'],['يعود'],O,O,sentence#3,True
93,الى,الى,['الى'],['الى'],O,O,sentence#3,True
94,البادية,ال+ بادي +ة,"['الب', '##ادية']","['ال+', 'بادي', '+ة']",O,O,sentence#3,True
95,الشمالية,ال+ شمالي +ة,"['الش', '##مالي', '##ة']","['ال+', 'شمالي', '+ة']",O,O,sentence#3,True
96,الشرقية,ال+ شرقي +ة,"['الشر', '##قية']","['ال+', 'شرقي', '+ة']",O,O,sentence#3,True
97,خلال,خلال,['خلال'],['خلال'],O,O,sentence#3,True
98,الأشهر,ال+ أشهر,"['الأ', '##شه', '##ر']","['ال+', 'أشهر']",O,O,sentence#3,True
99,القليلة,ال+ قليل +ة,"['الق', '##ليل', '##ة']","['ال+', 'قليل', '+ة']",O,O,sentence#3,True
100,القادمة,ال+ قادم +ة,"['الق', '##ادم', '##ة']","['ال+', 'قادم', '+ة']",O,O,sentence#3,True
101,لافتتاح,ل+ افتتاح,"['لافت', '##تاح']","['ل+', 'افتتاح']",O,O,sentence#3,True
102,مشاريع,مشاريع,['مشاريع'],['مشاريع'],O,O,sentence#3,True
103,تم,تم,['تم'],['تم'],O,O,sentence#3,True
104,إنجازها,إنجاز +ها,"['إنجاز', '##ها']","['إنجاز', '+ها']",O,O,sentence#3,True
105,بأمر,ب+ أمر,"['بأ', '##مر']","['ب+', 'أمر']",O,O,sentence#3,True
106,من,من,['من'],['من'],O,O,sentence#3,True
107,جلالته,جلال +ت +ه,"['جلال', '##ته']","['جلال', '+ت', '+ه']",O,O,sentence#3,True
108,لصادرات,ل+ صادر +ات,"['لص', '##ادر', '##ات']","['ل+', 'صادر', '+ات']",O,O,sentence#4,True
109,جلالة,جلال +ة,"['جلال', '##ة']","['جلال', '+ة']",O,O,sentence#4,True
110,الملك,ال+ ملك,"['الم', '##لك']","['ال+', 'ملك']",O,O,sentence#4,True
111,اطلق,أطلق,['اطلق'],['أطلق'],O,O,sentence#4,True
112,في,في,['في'],['في'],O,O,sentence#4,True
113,ايار,أيار,['ايار'],['أيار'],O,O,sentence#4,True
114,الماضي,ال+ ماضي,"['الما', '##ضي']","['ال+', 'ماضي']",O,O,sentence#4,True
115,مبادرة,مبادر +ة,"['مبادر', '##ة']","['مبادر', '+ة']",O,O,sentence#4,True
116,شبكة,شبك +ة,"['شبك', '##ة']","['شبك', '+ة']",O,O,sentence#4,True
117,الأمان,ال+ أمان,"['الأ', '##مان']","['ال+', 'أمان']",O,O,sentence#4,True
118,الاجتماعي,ال+ اجتماعي,"['الا', '##جت', '##ماعي']","['ال+', 'اجتماعي']",O,O,sentence#4,True
119,من,من,['من'],['من'],O,O,sentence#4,True
120,الأغوار,ال+ أغوار,"['الأ', '##غوا', '##ر']","['ال+', 'أغوار']",O,O,sentence#4,True
121,الجنوبية,ال+ جنوبي +ة,"['الج', '##نو', '##بية']","['ال+', 'جنوبي', '+ة']",O,O,sentence#4,True
122,والتي,و+ التي,"['والت', '##ي']","['و+', 'التي']",O,O,sentence#4,True
123,ستشمل,س+ تشمل,"['ست', '##شم', '##ل']","['س+', 'تشمل']",O,O,sentence#4,True
124,جميع,جميع,['جميع'],['جميع'],O,O,sentence#4,True
125,جيوب,جيوب,['جيوب'],['جيوب'],O,O,sentence#4,True
126,الفقر,ال+ فقر,"['الف', '##قر']","['ال+', 'فقر']",O,O,sentence#4,True
127,التي,التي,['التي'],['التي'],O,O,sentence#4,True
128,حددتها,حدد +ت +ها,"['حدد', '##تها']","['حدد', '+ت', '+ها']",O,O,sentence#4,True
129,دراسة,دراس +ة,"['دراس', '##ة']","['دراس', '+ة']",O,O,sentence#4,True
130,اعدتها,أعد +ت +ها,"['اعد', '##تها']","['أعد', '+ت', '+ها']",O,O,sentence#4,True
131,الحكومة,ال+ حكوم +ة,"['الح', '##كوم', '##ة']","['ال+', 'حكوم', '+ة']",O,O,sentence#4,True
132,عام,عام,['عام'],['عام'],O,O,sentence#4,True
133,2003,2003,['2003'],['2003'],O,O,sentence#4,True
134,يتعين,يتعين,['يتعين'],['يتعين'],O,O,sentence#5,True
135,قضاء,قضاء,['قضاء'],['قضاء'],O,O,sentence#5,True
136,الصالحية,ال+ صالحي +ة,"['الص', '##الح', '##ية']","['ال+', 'صالحي', '+ة']",O,B-LOC,sentence#5,False
137,احد,أحد,['احد'],['أحد'],O,O,sentence#5,True
138,الوحدات,ال+ وحد +ات,"['الو', '##حد', '##ات']","['ال+', 'وحد', '+ات']",O,O,sentence#5,True
139,الادارية,ال+ إداري +ة,"['الا', '##داري', '##ة']","['ال+', 'إداري', '+ة']",O,O,sentence#5,True
140,التابعة,ال+ تابع +ة,"['الت', '##ابع', '##ة']","['ال+', 'تابع', '+ة']",O,O,sentence#5,True
141,للواء,لاللواء,"['ل', '##لواء']",['لاللواء'],O,O,sentence#5,True
142,البادية,ال+ بادي +ة,"['الب', '##ادية']","['ال+', 'بادي', '+ة']",O,B-LOC,sentence#5,False
143,الشمالية,ال+ شمالي +ة,"['الش', '##مالي', '##ة']","['ال+', 'شمالي', '+ة']",O,O,sentence#5,True
144,الشرقية,ال+ شرقي +ة,"['الشر', '##قية']","['ال+', 'شرقي', '+ة']",O,O,sentence#5,True
145,ويبعد,و+ يبعد,"['ويب', '##عد']","['و+', 'يبعد']",O,O,sentence#5,True
146,عن,عن,['عن'],['عن'],O,O,sentence#5,True
147,مدينة,مدين +ة,"['مدين', '##ة']","['مدين', '+ة']",O,O,sentence#5,True
148,المفرق,ال+ مفرق,"['الم', '##فرق']","['ال+', 'مفرق']",B-LOC,B-LOC,sentence#5,True
149,35,35,['35'],['35'],O,O,sentence#5,True
150,كم,كم,['كم'],['كم'],O,O,sentence#5,True
151,باتجاه,ب+ اتجاه,"['بات', '##جاه']","['ب+', 'اتجاه']",O,O,sentence#5,True
152,الشرق,ال+ شرق,"['الشر', '##ق']","['ال+', 'شرق']",O,O,sentence#5,True
153,ويسكنه,و+ يسكن +ه,"['ويس', '##كن', '##ه']","['و+', 'يسكن', '+ه']",O,O,sentence#5,True
154,نحو,نحو,['نحو'],['نحو'],O,O,sentence#5,True
155,16,16,['16'],['16'],O,O,sentence#5,True
156,الف,ألف,['الف'],['ألف'],O,O,sentence#5,True
157,نسمة,نسم +ة,"['نسم', '##ة']","['نسم', '+ة']",O,O,sentence#5,True
158,يتوزعون,يتوزع +ون,"['يتوزع', '##ون']","['يتوزع', '+ون']",O,O,sentence#5,True
159,على,على,['على'],['على'],O,O,sentence#5,True
160,16,16,['16'],['16'],O,O,sentence#5,True
161,تجمعا,تجمع +ا,"['تجمع', '##ا']","['تجمع', '+ا']",O,O,sentence#5,True
162,سكانيا,سكاني +ا,"['سكاني', '##ا']","['سكاني', '+ا']",O,O,sentence#5,True
163,شركات,شرك +ات,"['شرك', '##ات']","['شرك', '+ات']",O,O,sentence#6,True
164,موجة,موج +ة,"['موج', '##ة']","['موج', '+ة']",O,O,sentence#6,True
165,الهجمات,ال+ هجم +ات,"['اله', '##جم', '##ات']","['ال+', 'هجم', '+ات']",O,O,sentence#6,True
166,الانتحارية,ال+ انتحاري +ة,"['الان', '##تح', '##ارية']","['ال+', 'انتحاري', '+ة']",O,O,sentence#6,True
167,التي,التي,['التي'],['التي'],O,O,sentence#6,True
168,هزت,هز +ت,"['هز', '##ت']","['هز', '+ت']",O,O,sentence#6,True
169,أفغانستان,أفغانستان,['أفغانستان'],['أفغانستان'],B-LOC,B-LOC,sentence#6,True
170,هذا,هذا,['هذا'],['هذا'],O,O,sentence#6,True
171,الشهر,ال+ شهر,['الشهر'],"['ال+', 'شهر']",O,O,sentence#6,True
172,(,(,['('],['('],O,O,sentence#6,True
173,منها,من +ها,"['منه', '##ا']","['من', '+ها']",O,O,sentence#6,True
174,ثلاث,ثلاث,['ثلاث'],['ثلاث'],O,O,sentence#6,True
175,هجمات,هجم +ات,"['هجم', '##ات']","['هجم', '+ات']",O,O,sentence#6,True
176,يوم,يوم,['يوم'],['يوم'],O,O,sentence#6,True
177,الاثنين,ال+ اثنين,"['الا', '##ثنين']","['ال+', 'اثنين']",O,O,sentence#6,True
178,،,،,['،'],['،'],O,O,sentence#6,True
179,وهو,و+ هو,['وهو'],"['و+', 'هو']",O,O,sentence#6,True
180,ما,ما,['ما'],['ما'],O,O,sentence#6,True
181,رفع,رفع,['رفع'],['رفع'],O,O,sentence#6,True
182,مجموع,مجموع,['مجموع'],['مجموع'],O,O,sentence#6,True
183,هذه,هذه,['هذه'],['هذه'],O,O,sentence#6,True
184,الهجمات,ال+ هجم +ات,"['اله', '##جم', '##ات']","['ال+', 'هجم', '+ات']",O,O,sentence#6,True
185,منذ,منذ,['منذ'],['منذ'],O,O,sentence#6,True
186,2005,2005,['2005'],['2005'],O,O,sentence#6,True
187,إلى,إلى,['إلى'],['إلى'],O,O,sentence#6,True
188,69,69,['69'],['69'],O,O,sentence#6,True
189,),),[')'],[')'],O,O,sentence#6,True
190,تذكيراً,تذكير +ا,['[UNK]'],"['تذكير', '+ا']",O,O,sentence#6,True
191,محزناً,محزن +ا,['[UNK]'],"['محزن', '+ا']",O,O,sentence#6,True
192,بأن,ب+ أن,['بأن'],"['ب+', 'أن']",O,O,sentence#6,True
193,وزير,وزير,['وزير'],['وزير'],O,O,sentence#6,True
194,الدفاع,ال+ دفاع,"['الد', '##فاع']","['ال+', 'دفاع']",O,O,sentence#6,True
195,دونالد,دونالد,['دونالد'],['دونالد'],B-PERS,B-PERS,sentence#6,True
196,رامسفيلد,رامسفيلد,['رامسفيلد'],['رامسفيلد'],I-PERS,I-PERS,sentence#6,True
197,،,،,['،'],['،'],O,O,sentence#6,True
198,الذي,الذي,['الذي'],['الذي'],O,O,sentence#6,True
199,يتعرض,يتعرض,['يتعرض'],['يتعرض'],O,O,sentence#6,True
200,حالياً,حالي +ا,['[UNK]'],"['حالي', '+ا']",O,O,sentence#6,True
201,لانتقادات,ل+ انتقاد +ات,"['لان', '##تق', '##ادا', '##ت']","['ل+', 'انتقاد', '+ات']",O,O,sentence#6,True
202,لاذعة,لاذع +ة,"['لاذع', '##ة']","['لاذع', '+ة']",O,O,sentence#6,True
203,لدوره,ل+ دور +ه,"['لد', '##ور', '##ه']","['ل+', 'دور', '+ه']",O,O,sentence#6,True
204,في,في,['في'],['في'],O,O,sentence#6,True
205,العراق,ال+ عراق,"['الع', '##را', '##ق']","['ال+', 'عراق']",B-LOC,B-LOC,sentence#6,True
206,،,،,['،'],['،'],O,O,sentence#6,True
207,لم,لم,['لم'],['لم'],O,O,sentence#6,True
208,يكن,يكن,['يكن'],['يكن'],O,O,sentence#6,True
209,مهندس,مهندس,['مهندس'],['مهندس'],O,O,sentence#6,True
210,حرب,حرب,['حرب'],['حرب'],O,O,sentence#6,True
211,فاشلة,فاشل +ة,"['فاشل', '##ة']","['فاشل', '+ة']",O,O,sentence#6,True
212,واحدة,واحد +ة,"['واحد', '##ة']","['واحد', '+ة']",O,O,sentence#6,True
213,،,،,['،'],['،'],O,O,sentence#6,True
214,بل,بل,['بل'],['بل'],O,O,sentence#6,True
215,حربين,حرب +ين,"['حربي', '##ن']","['حرب', '+ين']",O,O,sentence#6,True
216,فاشلتين,فاشل +ت +ين,"['فاشل', '##تين']","['فاشل', '+ت', '+ين']",O,O,sentence#6,True
217,،,،,['،'],['،'],O,O,sentence#6,True
218,وصاحب,و+ صاحب,"['وص', '##احب']","['و+', 'صاحب']",O,O,sentence#6,True
219,رؤية,رؤي +ة,"['رؤي', '##ة']","['رؤي', '+ة']",O,O,sentence#6,True
220,خطيرة,خطير +ة,"['خطير', '##ة']","['خطير', '+ة']",O,O,sentence#6,True
221,حول,حول,['حول'],['حول'],O,O,sentence#6,True
222,كيفية,كيفي +ة,"['كيفي', '##ة']","['كيفي', '+ة']",O,O,sentence#6,True
223,استعمال,استعمال,['استعمال'],['استعمال'],O,O,sentence#6,True
224,القوة,ال+ قو +ة,"['الق', '##وة']","['ال+', 'قو', '+ة']",O,O,sentence#6,True
225,الأميركية,ال+ أميركي +ة,"['الأمير', '##كية']","['ال+', 'أميركي', '+ة']",O,O,sentence#6,True
226,المقبل,ال+ مقبل,"['المق', '##بل']","['ال+', 'مقبل']",O,O,sentence#7,True
227,كان,كان,['كان'],['كان'],O,O,sentence#7,True
228,أغسطس,أغسطس,['أغسطس'],['أغسطس'],O,O,sentence#7,True
229,من,من,['من'],['من'],O,O,sentence#7,True
230,عام,عام,['عام'],['عام'],O,O,sentence#7,True
231,2002,2002,['2002'],['2002'],O,O,sentence#7,True
232,لحظة,لحظ +ة,"['لحظ', '##ة']","['لحظ', '+ة']",O,O,sentence#7,True
233,إعلان,إعلان,['إعلان'],['إعلان'],O,O,sentence#7,True
234,"""","""","['""']","['""']",O,O,sentence#7,True
235,إنجاز,إنجاز,['إنجاز'],['إنجاز'],O,O,sentence#7,True
236,المهمة,ال+ مهم +ة,"['الم', '##هم', '##ة']","['ال+', 'مهم', '+ة']",O,O,sentence#7,True
237,"""","""","['""']","['""']",O,O,sentence#7,True
238,بالنسبة,ب+ ال+ نسب +ة,"['بال', '##نس', '##بة']","['ب+', 'ال+', 'نسب', '+ة']",O,O,sentence#7,True
239,لأفغانستان؛,ل+ أفغانستان ؛,"['لأ', '##ف', '##غان', '##ستان', '؛']","['ل+', 'أفغانستان', '؛']",B-LOC,B-LOC,sentence#7,True
240,حيث,حيث,['حيث'],['حيث'],O,O,sentence#7,True
241,وصف,وصف,['وصف'],['وصف'],O,O,sentence#7,True
242,رامسفيلد,رامسفيلد,['رامسفيلد'],['رامسفيلد'],B-PERS,B-PERS,sentence#7,True
243,الجهد,ال+ جهد,"['الج', '##هد']","['ال+', 'جهد']",O,O,sentence#7,True
244,العسكري,ال+ عسكري,"['العس', '##كري']","['ال+', 'عسكري']",O,O,sentence#7,True
245,ب,ب,['ب'],['ب'],O,O,sentence#7,True
246,ـ,,['[UNK]'],[],removed,removed,sentence#7,True
247,"""","""","['""']","['""']",O,O,sentence#7,True
248,الإنجاز,ال+ إنجاز,"['الإ', '##نجا', '##ز']","['ال+', 'إنجاز']",O,O,sentence#7,True
249,الكبير,ال+ كبير,"['الك', '##بير']","['ال+', 'كبير']",O,O,sentence#7,True
250,"""","""","['""']","['""']",O,O,sentence#7,True
251,و,و,['و'],['و'],O,O,sentence#7,True
252,"""","""","['""']","['""']",O,O,sentence#7,True
253,النموذج,ال+ نموذج,"['الن', '##موذج']","['ال+', 'نموذج']",O,O,sentence#7,True
254,الناجح,ال+ ناجح,"['الن', '##اج', '##ح']","['ال+', 'ناجح']",O,O,sentence#7,True
255,لما,ل+ ما,['لما'],"['ل+', 'ما']",O,O,sentence#7,True
256,يمكن,يمكن,['يمكن'],['يمكن'],O,O,sentence#7,True
257,أن,أن,['أن'],['أن'],O,O,sentence#7,True
258,يحدث,يحدث,['يحدث'],['يحدث'],O,O,sentence#7,True
259,للعراق,ل+ ال+ عراق,"['ل', '##لع', '##را', '##ق']","['ل+', 'ال+', 'عراق']",B-LOC,O,sentence#7,False
260,"""","""","['""']","['""']",O,O,sentence#7,True
261,،,،,['،'],['،'],O,O,sentence#8,True
262,من,من,['من'],['من'],O,O,sentence#8,True
263,وجهة,وجه +ة,"['وجه', '##ة']","['وجه', '+ة']",O,O,sentence#8,True
264,نظره,نظر +ه,"['نظر', '##ه']","['نظر', '+ه']",O,O,sentence#8,True
265,هزمت,هزم +ت,"['هزم', '##ت']","['هزم', '+ت']",O,O,sentence#8,True
266,"""","""","['""']","['""']",O,O,sentence#8,True
267,طالبان,طالبان,['طالبان'],['طالبان'],B-ORG,B-ORG,sentence#8,True
268,"""","""","['""']","['""']",O,O,sentence#8,True
269,،,،,['،'],['،'],O,O,sentence#8,True
270,وفككت,و+ فكك +ت,"['وف', '##كك', '##ت']","['و+', 'فكك', '+ت']",O,O,sentence#8,True
271,"""","""","['""']","['""']",O,O,sentence#8,True
272,القاعدة,ال+ قاعد +ة,"['الق', '##اعد', '##ة']","['ال+', 'قاعد', '+ة']",B-ORG,B-ORG,sentence#8,True
273,"""","""","['""']","['""']",O,O,sentence#8,True
274,،,،,['،'],['،'],O,O,sentence#8,True
275,ووضعت,و+ وضع +ت,"['وو', '##ضع', '##ت']","['و+', 'وضع', '+ت']",O,O,sentence#8,True
276,أفغانستان,أفغانستان,['أفغانستان'],['أفغانستان'],B-LOC,B-LOC,sentence#8,True
277,على,على,['على'],['على'],O,O,sentence#8,True
278,طريق,طريق,['طريق'],['طريق'],O,O,sentence#8,True
279,الاستقرار,ال+ استقرار,"['الا', '##ست', '##قرار']","['ال+', 'استقرار']",O,O,sentence#8,True
280,والديمقراطية,و+ ال+ ديمقراطي +ة,"['والدي', '##مق', '##را', '##طية']","['و+', 'ال+', 'ديمقراطي', '+ة']",O,O,sentence#8,True
281,–وقد,– و+ قد,"['–', 'وقد']","['–', 'و+', 'قد']",O,O,sentence#8,True
282,فعلت,فعل +ت,"['فعل', '##ت']","['فعل', '+ت']",O,O,sentence#8,True
283,ذلك,ذلك,['ذلك'],['ذلك'],O,O,sentence#8,True
284,على,على,['على'],['على'],O,O,sentence#8,True
285,طريقة,طريق +ة,"['طريق', '##ة']","['طريق', '+ة']",O,O,sentence#8,True
286,رامسفيلد,رامسفيلد,['رامسفيلد'],['رامسفيلد'],B-PERS,B-PERS,sentence#8,True
287,،,،,['،'],['،'],O,O,sentence#8,True
288,أي,أي,['أي'],['أي'],O,O,sentence#8,True
289,بتكلفة,ب+ تكلف +ة,"['بت', '##كل', '##فة']","['ب+', 'تكلف', '+ة']",O,O,sentence#8,True
290,قليلة,قليل +ة,"['قليل', '##ة']","['قليل', '+ة']",O,O,sentence#8,True
291,وحد,وحد,['وحد'],['وحد'],O,O,sentence#8,True
292,أدنى,أدنى,['أدنى'],['أدنى'],O,O,sentence#8,True
293,من,من,['من'],['من'],O,O,sentence#8,True
294,الخسائر,ال+ خسائر,"['الخ', '##سا', '##ئ', '##ر']","['ال+', 'خسائر']",O,O,sentence#8,True
295,البشرية,ال+ بشري +ة,"['الب', '##شري', '##ة']","['ال+', 'بشري', '+ة']",O,O,sentence#8,True
296,أنان,أنان,['أنان'],['أنان'],B-PERS,B-PERS,sentence#9,True
297,أن,أن,['أن'],['أن'],O,O,sentence#9,True
298,المهمة,ال+ مهم +ة,"['الم', '##هم', '##ة']","['ال+', 'مهم', '+ة']",O,O,sentence#9,True
299,لم,لم,['لم'],['لم'],O,O,sentence#9,True
300,تنجز,تنجز,['تنجز'],['تنجز'],O,O,sentence#9,True
301,أبداً,أبد +ا,['[UNK]'],"['أبد', '+ا']",O,O,sentence#9,True
302,في,في,['في'],['في'],O,O,sentence#9,True
303,واقع,واقع,['واقع'],['واقع'],O,O,sentence#9,True
