,words,preprocessed_words,tokenised_words,pre_tok_words,true,pred,sentence,agreement,model_name,preprocessing
36,اشهر,['اشهر'],['اشهر'],['اشهر'],O,O,sentence#0,True,mbert,without_preprocessing
37,بتمويل,"['ب', '##تم', '##ويل']","['ب', '##تم', '##ويل']","['ب', '##تم', '##ويل']",O,O,sentence#0,True,mbert,without_preprocessing
38,من,['من'],['من'],['من'],O,O,sentence#0,True,mbert,without_preprocessing
39,الديوان,"['ال', '##ديو', '##ان']","['ال', '##ديو', '##ان']","['ال', '##ديو', '##ان']",O,O,sentence#0,True,mbert,without_preprocessing
40,الملكي,"['الملك', '##ي']","['الملك', '##ي']","['الملك', '##ي']",O,O,sentence#0,True,mbert,without_preprocessing
41,الهاشمي,"['ال', '##ها', '##شم', '##ي']","['ال', '##ها', '##شم', '##ي']","['ال', '##ها', '##شم', '##ي']",O,O,sentence#0,True,mbert,without_preprocessing
42,برند,"['بر', '##ند']","['بر', '##ند']","['بر', '##ند']",B-PERS,B-PERS,sentence#1,True,mbert,without_preprocessing
43,جلالته,"['ج', '##لال', '##ته']","['ج', '##لال', '##ته']","['ج', '##لال', '##ته']",O,O,sentence#1,True,mbert,without_preprocessing
44,خلال,['خلال'],['خلال'],['خلال'],O,O,sentence#1,True,mbert,without_preprocessing
45,اللقاء,"['ال', '##لق', '##اء']","['ال', '##لق', '##اء']","['ال', '##لق', '##اء']",O,O,sentence#1,True,mbert,without_preprocessing
46,الذي,['الذي'],['الذي'],['الذي'],O,O,sentence#1,True,mbert,without_preprocessing
47,جمعه,"['جمع', '##ه']","['جمع', '##ه']","['جمع', '##ه']",O,O,sentence#1,True,mbert,without_preprocessing
48,وأعضاء,"['و', '##اع', '##ضاء']","['و', '##اع', '##ضاء']","['و', '##اع', '##ضاء']",O,O,sentence#1,True,mbert,without_preprocessing
49,اللجنة,['اللجنة'],['اللجنة'],['اللجنة'],O,O,sentence#1,True,mbert,without_preprocessing
50,المحورية,"['ال', '##م', '##حور', '##ية']","['ال', '##م', '##حور', '##ية']","['ال', '##م', '##حور', '##ية']",O,O,sentence#1,True,mbert,without_preprocessing
51,المعنية,"['ال', '##مع', '##نية']","['ال', '##مع', '##نية']","['ال', '##مع', '##نية']",O,O,sentence#1,True,mbert,without_preprocessing
52,في,['في'],['في'],['في'],O,O,sentence#1,True,mbert,without_preprocessing
53,تحديد,['تحديد'],['تحديد'],['تحديد'],O,O,sentence#1,True,mbert,without_preprocessing
54,مطالب,"['م', '##طالب']","['م', '##طالب']","['م', '##طالب']",O,O,sentence#1,True,mbert,without_preprocessing
55,القضاء,"['ال', '##قضاء']","['ال', '##قضاء']","['ال', '##قضاء']",O,O,sentence#1,True,mbert,without_preprocessing
56,انه,['انه'],['انه'],['انه'],O,O,sentence#1,True,mbert,without_preprocessing
57,يقدر,['يقدر'],['يقدر'],['يقدر'],O,O,sentence#1,True,mbert,without_preprocessing
58,الظروف,"['ال', '##ظر', '##وف']","['ال', '##ظر', '##وف']","['ال', '##ظر', '##وف']",O,O,sentence#1,True,mbert,without_preprocessing
59,والتحديات,"['و', '##الت', '##حد', '##يات']","['و', '##الت', '##حد', '##يات']","['و', '##الت', '##حد', '##يات']",O,O,sentence#1,True,mbert,without_preprocessing
60,التي,['التي'],['التي'],['التي'],O,O,sentence#1,True,mbert,without_preprocessing
61,يواجهها,"['ي', '##واجه', '##ها']","['ي', '##واجه', '##ها']","['ي', '##واجه', '##ها']",O,O,sentence#1,True,mbert,without_preprocessing
62,أبناء,['ابناء'],['ابناء'],['ابناء'],O,O,sentence#1,True,mbert,without_preprocessing
63,الصالحية,"['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']",B-LOC,O,sentence#1,False,mbert,without_preprocessing
64,ونايفة,"['و', '##نا', '##يفة']","['و', '##نا', '##يفة']","['و', '##نا', '##يفة']",B-LOC,O,sentence#1,False,mbert,without_preprocessing
65,خصوصا,['خصوصا'],['خصوصا'],['خصوصا'],O,O,sentence#1,True,mbert,without_preprocessing
66,فيما,['فيما'],['فيما'],['فيما'],O,O,sentence#1,True,mbert,without_preprocessing
67,يتعلق,"['ي', '##تعلق']","['ي', '##تعلق']","['ي', '##تعلق']",O,O,sentence#1,True,mbert,without_preprocessing
68,بمشكلتي,"['ب', '##م', '##شكل', '##تي']","['ب', '##م', '##شكل', '##تي']","['ب', '##م', '##شكل', '##تي']",O,O,sentence#1,True,mbert,without_preprocessing
69,الفقر,"['الف', '##قر']","['الف', '##قر']","['الف', '##قر']",O,O,sentence#1,True,mbert,without_preprocessing
70,والبطالة,"['و', '##ال', '##بط', '##الة']","['و', '##ال', '##بط', '##الة']","['و', '##ال', '##بط', '##الة']",O,O,sentence#1,True,mbert,without_preprocessing
71,مرتفع,"['م', '##رت', '##فع']","['م', '##رت', '##فع']","['م', '##رت', '##فع']",O,O,sentence#2,True,mbert,without_preprocessing
72,جلالته,"['ج', '##لال', '##ته']","['ج', '##لال', '##ته']","['ج', '##لال', '##ته']",O,O,sentence#2,True,mbert,without_preprocessing
73,أريد,"['ار', '##يد']","['ار', '##يد']","['ار', '##يد']",O,O,sentence#2,True,mbert,without_preprocessing
74,ان,['ان'],['ان'],['ان'],O,O,sentence#2,True,mbert,without_preprocessing
75,استمع,"['است', '##مع']","['است', '##مع']","['است', '##مع']",O,O,sentence#2,True,mbert,without_preprocessing
76,منكم,"['من', '##كم']","['من', '##كم']","['من', '##كم']",O,O,sentence#2,True,mbert,without_preprocessing
77,عن,['عن'],['عن'],['عن'],O,O,sentence#2,True,mbert,without_preprocessing
78,المشاريع,"['ال', '##م', '##شار', '##يع']","['ال', '##م', '##شار', '##يع']","['ال', '##م', '##شار', '##يع']",O,O,sentence#2,True,mbert,without_preprocessing
79,التي,['التي'],['التي'],['التي'],O,O,sentence#2,True,mbert,without_preprocessing
80,تقترحونها,"['ت', '##قت', '##رح', '##ون', '##ها']","['ت', '##قت', '##رح', '##ون', '##ها']","['ت', '##قت', '##رح', '##ون', '##ها']",O,O,sentence#2,True,mbert,without_preprocessing
81,وأنا,"['وان', '##ا']","['وان', '##ا']","['وان', '##ا']",O,O,sentence#2,True,mbert,without_preprocessing
82,جاهز,"['جا', '##ه', '##ز']","['جا', '##ه', '##ز']","['جا', '##ه', '##ز']",O,O,sentence#2,True,mbert,without_preprocessing
83,لتقديم,"['ل', '##تقد', '##يم']","['ل', '##تقد', '##يم']","['ل', '##تقد', '##يم']",O,O,sentence#2,True,mbert,without_preprocessing
84,كامل,['كامل'],['كامل'],['كامل'],O,O,sentence#2,True,mbert,without_preprocessing
85,الدعم,"['ال', '##دعم']","['ال', '##دعم']","['ال', '##دعم']",O,O,sentence#2,True,mbert,without_preprocessing
86,لكم,"['ل', '##كم']","['ل', '##كم']","['ل', '##كم']",O,O,sentence#2,True,mbert,without_preprocessing
87,زادت,"['ز', '##اد', '##ت']","['ز', '##اد', '##ت']","['ز', '##اد', '##ت']",O,O,sentence#3,True,mbert,without_preprocessing
88,جلالته,"['ج', '##لال', '##ته']","['ج', '##لال', '##ته']","['ج', '##لال', '##ته']",O,O,sentence#3,True,mbert,without_preprocessing
89,على,['على'],['على'],['على'],O,O,sentence#3,True,mbert,without_preprocessing
90,انه,['انه'],['انه'],['انه'],O,O,sentence#3,True,mbert,without_preprocessing
91,سوف,['سوف'],['سوف'],['سوف'],O,O,sentence#3,True,mbert,without_preprocessing
92,يعود,['يعود'],['يعود'],['يعود'],O,O,sentence#3,True,mbert,without_preprocessing
93,الى,['الى'],['الى'],['الى'],O,O,sentence#3,True,mbert,without_preprocessing
94,البادية,"['ال', '##باد', '##ية']","['ال', '##باد', '##ية']","['ال', '##باد', '##ية']",O,O,sentence#3,True,mbert,without_preprocessing
95,الشمالية,['الشمالية'],['الشمالية'],['الشمالية'],O,O,sentence#3,True,mbert,without_preprocessing
96,الشرقية,['الشرقية'],['الشرقية'],['الشرقية'],O,O,sentence#3,True,mbert,without_preprocessing
97,خلال,['خلال'],['خلال'],['خلال'],O,O,sentence#3,True,mbert,without_preprocessing
98,الأشهر,"['الا', '##شهر']","['الا', '##شهر']","['الا', '##شهر']",O,O,sentence#3,True,mbert,without_preprocessing
99,القليلة,"['ال', '##قليل', '##ة']","['ال', '##قليل', '##ة']","['ال', '##قليل', '##ة']",O,O,sentence#3,True,mbert,without_preprocessing
100,القادمة,"['ال', '##قاد', '##مة']","['ال', '##قاد', '##مة']","['ال', '##قاد', '##مة']",O,O,sentence#3,True,mbert,without_preprocessing
101,لافتتاح,"['لا', '##فت', '##تاح']","['لا', '##فت', '##تاح']","['لا', '##فت', '##تاح']",O,O,sentence#3,True,mbert,without_preprocessing
102,مشاريع,"['م', '##شار', '##يع']","['م', '##شار', '##يع']","['م', '##شار', '##يع']",O,O,sentence#3,True,mbert,without_preprocessing
103,تم,['تم'],['تم'],['تم'],O,O,sentence#3,True,mbert,without_preprocessing
104,إنجازها,"['انجا', '##زه', '##ا']","['انجا', '##زه', '##ا']","['انجا', '##زه', '##ا']",O,O,sentence#3,True,mbert,without_preprocessing
105,بأمر,"['با', '##مر']","['با', '##مر']","['با', '##مر']",O,O,sentence#3,True,mbert,without_preprocessing
106,من,['من'],['من'],['من'],O,O,sentence#3,True,mbert,without_preprocessing
107,جلالته,"['ج', '##لال', '##ته']","['ج', '##لال', '##ته']","['ج', '##لال', '##ته']",O,O,sentence#3,True,mbert,without_preprocessing
108,لصادرات,"['ل', '##صادر', '##ات']","['ل', '##صادر', '##ات']","['ل', '##صادر', '##ات']",O,O,sentence#4,True,mbert,without_preprocessing
109,جلالة,"['ج', '##لال', '##ة']","['ج', '##لال', '##ة']","['ج', '##لال', '##ة']",O,O,sentence#4,True,mbert,without_preprocessing
110,الملك,['الملك'],['الملك'],['الملك'],O,O,sentence#4,True,mbert,without_preprocessing
111,اطلق,"['ا', '##طلق']","['ا', '##طلق']","['ا', '##طلق']",O,O,sentence#4,True,mbert,without_preprocessing
112,في,['في'],['في'],['في'],O,O,sentence#4,True,mbert,without_preprocessing
113,ايار,"['اي', '##ار']","['اي', '##ار']","['اي', '##ار']",O,O,sentence#4,True,mbert,without_preprocessing
114,الماضي,"['ال', '##ماضي']","['ال', '##ماضي']","['ال', '##ماضي']",O,O,sentence#4,True,mbert,without_preprocessing
115,مبادرة,"['م', '##باد', '##رة']","['م', '##باد', '##رة']","['م', '##باد', '##رة']",O,O,sentence#4,True,mbert,without_preprocessing
116,شبكة,['شبكة'],['شبكة'],['شبكة'],O,O,sentence#4,True,mbert,without_preprocessing
117,الأمان,"['الا', '##مان']","['الا', '##مان']","['الا', '##مان']",O,O,sentence#4,True,mbert,without_preprocessing
118,الاجتماعي,['الاجتماعي'],['الاجتماعي'],['الاجتماعي'],O,O,sentence#4,True,mbert,without_preprocessing
119,من,['من'],['من'],['من'],O,O,sentence#4,True,mbert,without_preprocessing
120,الأغوار,"['الا', '##غو', '##ار']","['الا', '##غو', '##ار']","['الا', '##غو', '##ار']",O,O,sentence#4,True,mbert,without_preprocessing
121,الجنوبية,['الجنوبية'],['الجنوبية'],['الجنوبية'],O,O,sentence#4,True,mbert,without_preprocessing
122,والتي,['والتي'],['والتي'],['والتي'],O,O,sentence#4,True,mbert,without_preprocessing
123,ستشمل,"['س', '##ت', '##شمل']","['س', '##ت', '##شمل']","['س', '##ت', '##شمل']",O,O,sentence#4,True,mbert,without_preprocessing
124,جميع,['جميع'],['جميع'],['جميع'],O,O,sentence#4,True,mbert,without_preprocessing
125,جيوب,"['جي', '##وب']","['جي', '##وب']","['جي', '##وب']",O,O,sentence#4,True,mbert,without_preprocessing
126,الفقر,"['الف', '##قر']","['الف', '##قر']","['الف', '##قر']",O,O,sentence#4,True,mbert,without_preprocessing
127,التي,['التي'],['التي'],['التي'],O,O,sentence#4,True,mbert,without_preprocessing
128,حددتها,"['حد', '##دت', '##ها']","['حد', '##دت', '##ها']","['حد', '##دت', '##ها']",O,O,sentence#4,True,mbert,without_preprocessing
129,دراسة,['دراسة'],['دراسة'],['دراسة'],O,O,sentence#4,True,mbert,without_preprocessing
130,اعدتها,"['ا', '##عد', '##تها']","['ا', '##عد', '##تها']","['ا', '##عد', '##تها']",O,O,sentence#4,True,mbert,without_preprocessing
131,الحكومة,['الحكومة'],['الحكومة'],['الحكومة'],O,O,sentence#4,True,mbert,without_preprocessing
132,عام,['عام'],['عام'],['عام'],O,O,sentence#4,True,mbert,without_preprocessing
133,2003,['2003'],['2003'],['2003'],O,O,sentence#4,True,mbert,without_preprocessing
134,يتعين,"['ي', '##ت', '##عين']","['ي', '##ت', '##عين']","['ي', '##ت', '##عين']",O,O,sentence#5,True,mbert,without_preprocessing
135,قضاء,"['ق', '##ضاء']","['ق', '##ضاء']","['ق', '##ضاء']",O,O,sentence#5,True,mbert,without_preprocessing
136,الصالحية,"['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']","['ال', '##صالح', '##ية']",O,B-LOC,sentence#5,False,mbert,without_preprocessing
137,احد,['احد'],['احد'],['احد'],O,O,sentence#5,True,mbert,without_preprocessing
138,الوحدات,['الوحدات'],['الوحدات'],['الوحدات'],O,O,sentence#5,True,mbert,without_preprocessing
139,الادارية,"['الا', '##دار', '##ية']","['الا', '##دار', '##ية']","['الا', '##دار', '##ية']",O,O,sentence#5,True,mbert,without_preprocessing
140,التابعة,['التابعة'],['التابعة'],['التابعة'],O,O,sentence#5,True,mbert,without_preprocessing
141,للواء,"['ل', '##لو', '##اء']","['ل', '##لو', '##اء']","['ل', '##لو', '##اء']",O,O,sentence#5,True,mbert,without_preprocessing
142,البادية,"['ال', '##باد', '##ية']","['ال', '##باد', '##ية']","['ال', '##باد', '##ية']",O,B-ORG,sentence#5,False,mbert,without_preprocessing
143,الشمالية,['الشمالية'],['الشمالية'],['الشمالية'],O,O,sentence#5,True,mbert,without_preprocessing
144,الشرقية,['الشرقية'],['الشرقية'],['الشرقية'],O,O,sentence#5,True,mbert,without_preprocessing
145,ويبعد,"['و', '##يب', '##عد']","['و', '##يب', '##عد']","['و', '##يب', '##عد']",O,O,sentence#5,True,mbert,without_preprocessing
146,عن,['عن'],['عن'],['عن'],O,O,sentence#5,True,mbert,without_preprocessing
147,مدينة,['مدينة'],['مدينة'],['مدينة'],O,O,sentence#5,True,mbert,without_preprocessing
148,المفرق,"['ال', '##م', '##فر', '##ق']","['ال', '##م', '##فر', '##ق']","['ال', '##م', '##فر', '##ق']",B-LOC,B-LOC,sentence#5,True,mbert,without_preprocessing
149,35,['35'],['35'],['35'],O,O,sentence#5,True,mbert,without_preprocessing
150,كم,['كم'],['كم'],['كم'],O,O,sentence#5,True,mbert,without_preprocessing
151,باتجاه,"['بات', '##جاه']","['بات', '##جاه']","['بات', '##جاه']",O,O,sentence#5,True,mbert,without_preprocessing
152,الشرق,['الشرق'],['الشرق'],['الشرق'],O,O,sentence#5,True,mbert,without_preprocessing
153,ويسكنه,"['و', '##يس', '##كن', '##ه']","['و', '##يس', '##كن', '##ه']","['و', '##يس', '##كن', '##ه']",O,O,sentence#5,True,mbert,without_preprocessing
154,نحو,['نحو'],['نحو'],['نحو'],O,O,sentence#5,True,mbert,without_preprocessing
155,16,['16'],['16'],['16'],O,O,sentence#5,True,mbert,without_preprocessing
156,الف,['الف'],['الف'],['الف'],O,O,sentence#5,True,mbert,without_preprocessing
157,نسمة,['نسمة'],['نسمة'],['نسمة'],O,O,sentence#5,True,mbert,without_preprocessing
158,يتوزعون,"['ي', '##تو', '##ز', '##ع', '##ون']","['ي', '##تو', '##ز', '##ع', '##ون']","['ي', '##تو', '##ز', '##ع', '##ون']",O,O,sentence#5,True,mbert,without_preprocessing
159,على,['على'],['على'],['على'],O,O,sentence#5,True,mbert,without_preprocessing
160,16,['16'],['16'],['16'],O,O,sentence#5,True,mbert,without_preprocessing
161,تجمعا,"['ت', '##جمع', '##ا']","['ت', '##جمع', '##ا']","['ت', '##جمع', '##ا']",O,O,sentence#5,True,mbert,without_preprocessing
162,سكانيا,"['سكان', '##يا']","['سكان', '##يا']","['سكان', '##يا']",O,O,sentence#5,True,mbert,without_preprocessing
163,شركات,"['ش', '##ر', '##كات']","['ش', '##ر', '##كات']","['ش', '##ر', '##كات']",O,O,sentence#6,True,mbert,without_preprocessing
164,موجة,"['م', '##وجة']","['م', '##وجة']","['م', '##وجة']",O,O,sentence#6,True,mbert,without_preprocessing
165,الهجمات,"['ال', '##ه', '##جم', '##ات']","['ال', '##ه', '##جم', '##ات']","['ال', '##ه', '##جم', '##ات']",O,O,sentence#6,True,mbert,without_preprocessing
166,الانتحارية,"['الان', '##ت', '##حا', '##رية']","['الان', '##ت', '##حا', '##رية']","['الان', '##ت', '##حا', '##رية']",O,O,sentence#6,True,mbert,without_preprocessing
167,التي,['التي'],['التي'],['التي'],O,O,sentence#6,True,mbert,without_preprocessing
168,هزت,"['ه', '##ز', '##ت']","['ه', '##ز', '##ت']","['ه', '##ز', '##ت']",O,O,sentence#6,True,mbert,without_preprocessing
169,أفغانستان,['افغانستان'],['افغانستان'],['افغانستان'],B-LOC,B-LOC,sentence#6,True,mbert,without_preprocessing
170,هذا,['هذا'],['هذا'],['هذا'],O,O,sentence#6,True,mbert,without_preprocessing
171,الشهر,"['ال', '##شهر']","['ال', '##شهر']","['ال', '##شهر']",O,O,sentence#6,True,mbert,without_preprocessing
172,(,['('],['('],['('],O,O,sentence#6,True,mbert,without_preprocessing
173,منها,['منها'],['منها'],['منها'],O,O,sentence#6,True,mbert,without_preprocessing
174,ثلاث,['ثلاث'],['ثلاث'],['ثلاث'],O,O,sentence#6,True,mbert,without_preprocessing
175,هجمات,"['ه', '##جم', '##ات']","['ه', '##جم', '##ات']","['ه', '##جم', '##ات']",O,O,sentence#6,True,mbert,without_preprocessing
176,يوم,['يوم'],['يوم'],['يوم'],O,O,sentence#6,True,mbert,without_preprocessing
177,الاثنين,"['الا', '##ثنين']","['الا', '##ثنين']","['الا', '##ثنين']",O,O,sentence#6,True,mbert,without_preprocessing
178,،,['،'],['،'],['،'],O,O,sentence#6,True,mbert,without_preprocessing
179,وهو,['وهو'],['وهو'],['وهو'],O,O,sentence#6,True,mbert,without_preprocessing
180,ما,['ما'],['ما'],['ما'],O,O,sentence#6,True,mbert,without_preprocessing
181,رفع,"['ر', '##فع']","['ر', '##فع']","['ر', '##فع']",O,O,sentence#6,True,mbert,without_preprocessing
182,مجموع,['مجموع'],['مجموع'],['مجموع'],O,O,sentence#6,True,mbert,without_preprocessing
183,هذه,['هذه'],['هذه'],['هذه'],O,O,sentence#6,True,mbert,without_preprocessing
184,الهجمات,"['ال', '##ه', '##جم', '##ات']","['ال', '##ه', '##جم', '##ات']","['ال', '##ه', '##جم', '##ات']",O,O,sentence#6,True,mbert,without_preprocessing
185,منذ,['منذ'],['منذ'],['منذ'],O,O,sentence#6,True,mbert,without_preprocessing
186,2005,['2005'],['2005'],['2005'],O,O,sentence#6,True,mbert,without_preprocessing
187,إلى,['الى'],['الى'],['الى'],O,O,sentence#6,True,mbert,without_preprocessing
188,69,['69'],['69'],['69'],O,O,sentence#6,True,mbert,without_preprocessing
189,),[')'],[')'],[')'],O,O,sentence#6,True,mbert,without_preprocessing
190,تذكيراً,"['ت', '##ذ', '##كي', '##را']","['ت', '##ذ', '##كي', '##را']","['ت', '##ذ', '##كي', '##را']",O,O,sentence#6,True,mbert,without_preprocessing
191,محزناً,"['م', '##ح', '##زن', '##ا']","['م', '##ح', '##زن', '##ا']","['م', '##ح', '##زن', '##ا']",O,O,sentence#6,True,mbert,without_preprocessing
192,بأن,['بان'],['بان'],['بان'],O,O,sentence#6,True,mbert,without_preprocessing
193,وزير,['وزير'],['وزير'],['وزير'],O,O,sentence#6,True,mbert,without_preprocessing
194,الدفاع,['الدفاع'],['الدفاع'],['الدفاع'],O,O,sentence#6,True,mbert,without_preprocessing
195,دونالد,"['دون', '##ال', '##د']","['دون', '##ال', '##د']","['دون', '##ال', '##د']",B-PERS,B-PERS,sentence#6,True,mbert,without_preprocessing
196,رامسفيلد,"['را', '##مس', '##في', '##لد']","['را', '##مس', '##في', '##لد']","['را', '##مس', '##في', '##لد']",I-PERS,I-PERS,sentence#6,True,mbert,without_preprocessing
197,،,['،'],['،'],['،'],O,O,sentence#6,True,mbert,without_preprocessing
198,الذي,['الذي'],['الذي'],['الذي'],O,O,sentence#6,True,mbert,without_preprocessing
199,يتعرض,"['ي', '##تعرض']","['ي', '##تعرض']","['ي', '##تعرض']",O,O,sentence#6,True,mbert,without_preprocessing
200,حالياً,['حاليا'],['حاليا'],['حاليا'],O,O,sentence#6,True,mbert,without_preprocessing
201,لانتقادات,"['لان', '##ت', '##قاد', '##ات']","['لان', '##ت', '##قاد', '##ات']","['لان', '##ت', '##قاد', '##ات']",O,O,sentence#6,True,mbert,without_preprocessing
202,لاذعة,"['لا', '##ذ', '##عة']","['لا', '##ذ', '##عة']","['لا', '##ذ', '##عة']",O,O,sentence#6,True,mbert,without_preprocessing
203,لدوره,"['ل', '##دور', '##ه']","['ل', '##دور', '##ه']","['ل', '##دور', '##ه']",O,O,sentence#6,True,mbert,without_preprocessing
204,في,['في'],['في'],['في'],O,O,sentence#6,True,mbert,without_preprocessing
205,العراق,['العراق'],['العراق'],['العراق'],B-LOC,B-LOC,sentence#6,True,mbert,without_preprocessing
206,،,['،'],['،'],['،'],O,O,sentence#6,True,mbert,without_preprocessing
207,لم,['لم'],['لم'],['لم'],O,O,sentence#6,True,mbert,without_preprocessing
208,يكن,['يكن'],['يكن'],['يكن'],O,O,sentence#6,True,mbert,without_preprocessing
209,مهندس,"['مه', '##ندس']","['مه', '##ندس']","['مه', '##ندس']",O,O,sentence#6,True,mbert,without_preprocessing
210,حرب,['حرب'],['حرب'],['حرب'],O,O,sentence#6,True,mbert,without_preprocessing
211,فاشلة,"['ف', '##اش', '##لة']","['ف', '##اش', '##لة']","['ف', '##اش', '##لة']",O,O,sentence#6,True,mbert,without_preprocessing
212,واحدة,['واحدة'],['واحدة'],['واحدة'],O,O,sentence#6,True,mbert,without_preprocessing
213,،,['،'],['،'],['،'],O,O,sentence#6,True,mbert,without_preprocessing
214,بل,['بل'],['بل'],['بل'],O,O,sentence#6,True,mbert,without_preprocessing
215,حربين,"['حرب', '##ين']","['حرب', '##ين']","['حرب', '##ين']",O,O,sentence#6,True,mbert,without_preprocessing
216,فاشلتين,"['ف', '##اش', '##لت', '##ين']","['ف', '##اش', '##لت', '##ين']","['ف', '##اش', '##لت', '##ين']",O,O,sentence#6,True,mbert,without_preprocessing
217,،,['،'],['،'],['،'],O,O,sentence#6,True,mbert,without_preprocessing
218,وصاحب,"['و', '##ص', '##اح', '##ب']","['و', '##ص', '##اح', '##ب']","['و', '##ص', '##اح', '##ب']",O,O,sentence#6,True,mbert,without_preprocessing
219,رؤية,"['رو', '##ية']","['رو', '##ية']","['رو', '##ية']",O,O,sentence#6,True,mbert,without_preprocessing
